economy|1742
toda|38
information|614
portugal|157
law|164
harvard|3
tech|4
porta|91
young|42
application|240
passo|169
read|285
phase|126
day|1525
april|296
do|331
antes|328
check|169
para|6627
apply|115
confirm|27
finance|2945
go|873
promise|8
declaration|155
corresponding|13
year|1669
previous|196
site|850
portal|913
housing|58
click|970
page|312
authentication|18
authenticate|7
surge|14
text|31
authorize|3
name|400
number|122
taxpayer|60
proceed|11
top|298
identification|21
such|87
period|260
estado|197
current|154
adult|6
couple|11
cohabitation|2
select|53
option|114
add|48
introduce|6
nib|5
grant|30
district|24
county|91
parish|2
article|1073
fraction|5
immobile|146
typology|3
person|475
be|170
outdoor|628
point|11
good|317
location|24
special|328
end|259
submeter|17
relative|94
value|4250
date|2465
celebration|4
get|465
proving|13
faze|8
basta|33
little|179
clip|1
search|3712
file|6
tera|108
scanning|5
kinship|3
item|137
category|304
detail|43
arise|9
verification|33
match|52
attach|3
situation|68
affirmation|1
record|11
dependent|31
next|644
novo|520
dialogue|14
copy|181
bigger|383
authorization|24
tue|467
identify|33
degree|23
element|46
ascending|4
following|139
form|390
bad|592
recipient|17
create|199
indicate|6
other|519
doubt|104
additional|123
consult|60
doctor|61
permanent|153
longa|18
duration|119
numa|87
need|97
require|180
prove|14
benefit|129
specific|21
publication|49
july|124
reference|45
simplification|4
citizen|33
example|196
getting|5
acquisition|87
chair|69
tricycle|2
vehicle|144
deficient|7
march|229
serve|39
center|617
residence|8
junta|24
evaluation|168
force|212
police|40
safety|204
national|352
respective|13
service|646
deadline|218
maximum|27
leave|293
same|315
report|530
exam|13
diagnosis|13
condition|11
emission|49
pay|113
reversible|2
irreversible|3
agree|6
contest|127
director|115
general|233
sao|1157
equal|47
higher|133
legislation|717
car|644
june|165
exemption|15
single|114
circulation|14
card|150
deficiency|11
december|99
construction|146
january|859
rate|369
november|98
public|346
quota|526
employment|439
administration|380
february|103
sector|399
october|153
code|226
electric|109
diesel|29
gasoline|37
best|251
future|558
grow|118
brand|197
invest|748
time|602
comprador|5
polluting|2
decision|249
city|87
tai|189
paris|9
madrid|3
forbid|2
ponder|1
vale|554
clear|199
certain|5
extend|1
motor|8
combustion|3
improve|72
hybrid|2
increase|203
environment|120
comfort|8
driving|6
much|471
silent|5
abate|2
spent|57
piece|13
price|473
initial|88
equivalent|16
difficulty|37
reading|71
economic|773
score|139
vista|43
efficient|41
low|46
model|131
face|31
big|427
advantage|39
smaller|215
turn|363
advertisement|59
world|622
route|9
promote|15
regeneration|1
competitive|18
recent|134
i|183
save|137
purchase|194
lose|44
analyze|857
consciousness|6
environmental|53
continue|130
expressive|7
lots|139
hour|377
expensive|53
easy|61
complete|59
fast|137
power|90
network|307
target|154
normal|85
truth|19
fora|337
convenient|4
choose|29
solution|38
electricity|8
trend|77
move|56
zero|29
harmful|4
silence|13
decrease|78
pollution|3
bottom|3705
course|1078
campaign|70
new|123
installation|4
slow|10
free|494
pass|38
night|16
appealing|2
client|157
tell|52
reduction|150
cheap|3
tan|24
tae|26
swear|736
loan|165
remuneration|51
deposit|28
calculate|37
credit|752
percentage|50
different|86
nominal|11
provision|62
share|13
effective|50
expense|126
insurance|756
product|572
consider|16
underwriting|97
global|260
total|152
maintenance|10
emolument|2
rigor|6
regula|11
mortgage|3
measure|233
dado|75
paga|32
soma|34
use|221
base|141
include|36
