domain|urls|paths|subdomains|proto
aae.com.au|http://aae.com.au/;http://www.aae.com.au/|/||HTTP
aa.com|http://aa.com/;http://www.aa.com|;/||HTTPS;HTTP
cirurgiaestetica.com.br|http://www.cirurgiaestetica.com.br/;http://cirurgiaestetica.com.br/|/||HTTPS;HTTP
cityjet.com|http://cityjet.com/;http://www.cityjet.com/|/||HTTPS;HTTP
clickair.com|http://www.clickair.com/;http://clickair.com/|/||HTTPS;HTTP
cityairline.com|http://www.cityairline.com/;http://cityairline.com/|/||HTTPS;HTTP
adria-airways.com|http://adria-airways.com/;http://www.adria-airways.com/|/||HTTPS;HTTP
tikaero.com|http://aas.tikaero.com/|/||HTTPS;HTTP
voegol.com.br|http://compre.voegol.com.br/;http://compre3.voegol.com.br;http://voegol.com.br/;http://www.voegol.com.br;http://compre2.voegol.com.br/boardingpass.aspx|;/;/boardingpass.aspx||HTTPS;HTTP
airberlin.com|http://www.airberlin.com/;http://airberlin.com/|/||HTTPS;HTTP
airmandalay.com|http://airmandalay.com|||HTTPS;HTTP
adaair.com|http://www.adaair.com/ll;http://adaair.com/ll|/ll||HTTP
africansafariair.com|http://www.africansafariair.com/;http://africansafariair.com/|/||HTTPS;HTTP
dns2.com.br|http://conesul.dns2.com.br/|/||HTTPS;HTTP
userplane.com|http://04.presence.userplane.com/|/||HTTP
conviasa.aero|http://www.conviasa.aero/;http://conviasa.aero/|/||HTTPS;HTTP
aeroasia.com|http://aeroasia.com/;http://www.aeroasia.com|;/||HTTPS;HTTP
cursoanglo.com.br|http://www.cursoanglo.com.br/;http://cursoanglo.com.br/|/||HTTPS;HTTP
airslovakia.sk|http://airslovakia.sk/;http://www.airslovakia.sk/|/||HTTPS;HTTP
crairways.com|http://www.crairways.com/;http://crairways.com/|/||HTTPS;HTTP
aerosvit.ua|http://aerosvit.ua/;http://www.aerosvit.ua/|/||HTTP
infomoney.com.br|http://custom.infomoney.com.br/|/||HTTPS;HTTP
airsahara.net|http://airsahara.net/;http://www.airsahara.net/|/||HTTP
