domain|urls|paths|subdomains|proto
bol.com.br|http://homemsemcueca.vila.bol.com.br/chat.html;http://ebfonline.vila.bol.com.br/batepapo.html;http://hobbyland.vila.bol.com.br/;http://kgalerani.vila.bol.com.br/;http://joiale.vila.bol.com.br/;http://jbweb.vila.bol.com.br/;http://esperantobr.vila.bol.com.br/ajuda/bp1.htm;http://amigoon-line.vila.bol.com.br/;http://enciclopesca.vila.bol.com.br/batepapo.html;http://miner.bol.com.br/genteminer.html;http://sou.um.gremista.vila.bol.com.br/chat/irc.htm;http://di.e.go2000.vila.bol.com.br/multi_icq.htm;http://sonsilluz.vila.bol.com.br/bate-papo.htm;http://1001chat.vila.bol.com.br/;http://leandro.junckes.vila.bol.com.br/;http://edumed.vila.bol.com.br/chat.html;http://chat.legal.vila.bol.com.br/home.htm;http://piramidalismo.vila.bol.com.br/2.htm;http://esperantobr.vila.bol.com.br/ajuda/bp2.htm;http://colegioleaoxiii.vila.bol.com.br/batepapo.html;http://pipland.vila.bol.com.br/;http://dodu.vila.bol.com.br/links.htm;http://mafiapan.vila.bol.com.br/chat.html;http://wcrash.vila.bol.com.br/chat.html;http://acomp.vila.bol.com.br/papo.html;http://nilsesol.vila.bol.com.br/nilse8.htm;http://russonline.vila.bol.com.br/;http://fes.com.vila.bol.com.br/batepapo.html;http://pesquisandoinformatica.vila.bol.com.br/batepapobol.html;http://miner.bol.com.br/imageminer.html;http://turmadahp.vila.bol.com.br/bate_papo_da_turma.htm;http://willianco.vila.bol.com.br/bp.htm;http://programadores1.vila.bol.com.br/meuchat.htm;http://iapassos.vila.bol.com.br/bate_papo.htm;http://leotopet.vila.bol.com.br/;http://a.m.i.z.a.d.e.vila.bol.com.br/icq.htm;http://crisbertolima.vila.bol.com.br/;http://doctorup.vila.bol.com.br/;http://megaevolucao.vila.bol.com.br/bate-papo.htm;http://festaweb.vila.bol.com.br/chat_room.html;http://van-halen.vila.bol.com.br/papo.htm;http://rafafcc.vila.bol.com.br/tadeu.htm;http://heliann.vila.bol.com.br/index9.htm;http://chatter.bol.com.br;http://clanlins.vila.bol.com.br/bate-papo.htm;http://amigosvr.vila.bol.com.br;http://carluza.vila.bol.com.br/bate-papo.htm;http://melissadeca.vila.bol.com.br/nossaconversa.htm;http://capitulo7l.vila.bol.com.br/;http://apj.design.ba.vila.bol.com.br/chat.htm;http://righiaita.vila.bol.com.br/batepapo.htm;http://flavdossantos.vila.bol.com.br/flavia13.htm;http://lpigatto.vila.bol.com.br/batepapo.htm;http://sergiopaz.vila.bol.com.br/;http://batepapo.bol.com.br;http://devastadorfbf.vila.bol.com.br/downloads/index.htm;http://andre.barreira.vila.bol.com.br/chat.html;http://marcosmasullo.vila.bol.com.br/bate_papo.htm;http://neozerocool.vila.bol.com.br/icq.html;http://rei_arthur.vila.bol.com.br/;http://cristianemarinho.vila.bol.com.br/cris/chat.htm;http://historiajf.vila.bol.com.br/chat.htm;http://ma-miko3.vila.bol.com.br/friends-icqskins.htm;http://tiagocmoreira.vila.bol.com.br/;http://mmafort.vila.bol.com.br/batepapo.html;http://www.bol.com.br/batepapo;http://evangelico-sp.vila.bol.com.br/;http://gresupe.vila.bol.com.br/ufo.html;http://andre-d2-sk8.vila.bol.com.br/;http://neowen.vila.bol.com.br/batepapo.html;http://grunj.vila.bol.com.br/bate.html;http://batepapo.sux.vila.bol.com.br;http://betelhp.vila.bol.com.br/layout2/icq.html;http://www.bol.com.br/melhordainternet/informatica_e_internet/internet/batepapo|;/batepapo.html;/papo.html;/nilse8.htm;/chat.htm;/chat/irc.htm;/batepapobol.html;/bate_papo.htm;/melhordainternet/informatica_e_internet/internet/batepapo;/tadeu.htm;/;/papo.htm;/bate_papo_da_turma.htm;/bp.htm;/bate.html;/nossaconversa.htm;/batepapo.htm;/batepapo;/imageminer.html;/chat.html;/friends-icqskins.htm;/links.htm;/cris/chat.htm;/ufo.html;/flavia13.htm;/multi_icq.htm;/chat_room.html;/meuchat.htm;/layout2/icq.html;/2.htm;/downloads/index.htm;/ajuda/bp2.htm;/icq.html;/icq.htm;/genteminer.html;/bate-papo.htm;/ajuda/bp1.htm;/index9.htm;/home.htm||HTTPS;HTTP
cjb.net|http://www.bppresibiteriana.cjb.net/;http://www.bpmetodista.cjb.net/;http://www.rinopchat.cjb.net/;http://vgchat.cjb.net;http://www.louishp.cjb.net/batepapo.htm;http://www.siteguia.cjb.net/;http://cechat.cjb.net/;http://www.ioliol.cjb.net/;http://www.conversas.cjb.net;http://planetazonax.cjb.net/;http://1teenchat.cjb.net;http://www.linkjesus.cjb.net/;http://www.trymusic.cjb.net/;http://www.vivovantagens.cjb.net/;http://ouijachat.cjb.net;http://icqlisting.cjb.net;http://icqplusskinz.cjb.net;http://olenoproxy.cjb.net;http://poloicq.cjb.net;http://ppscapital.cjb.net;http://fabiowdesign.cjb.net/;http://www.mpagode.cjb.net/;http://patriota.cjb.net;http://www.polochat.cjb.net/;http://vivovantagens.cjb.net/;http://www.chatgnostico.cjb.net;http://friendsblvd.cjb.net/;http://www.polokut.cjb.net/;http://icqtoolz.cjb.net;http://www.pirajuchat.cjb.net/;http://www.olenoproxy.cjb.net;http://www.poloicq.cjb.net/;http://www.bpadventista.cjb.net/;http://www.gaychats.cjb.net;http://www.bpbatista.cjb.net/;http://www.excalibur2.cjb.net/;http://batepapodaturma.cjb.net;http://polokut.cjb.net/;http://jrhpchat.cjb.net/;http://www.jaloto.cjb.net/|;/;/batepapo.htm||HTTPS;HTTP
207.210.233.140|http://207.210.233.140/|/||HTTPS;HTTP
64.233.171.84|http://64.233.171.84/;https://64.233.171.84/|/||HTTPS;HTTP
209.59.174.210|http://209.59.174.210/|/||HTTPS;HTTP
198.175.98.50|http://198.175.98.50/|/||HTTP
64.13.161.61|http://64.13.161.61/|/||HTTPS;HTTP
194.109.193.91|http://194.109.193.91/|/||HTTPS;HTTP
216.194.70.4|http://216.194.70.4/|/||HTTP
24proxy.com|http://www.24proxy.com;http://24proxy.com|||HTTPS;HTTP
