domain|urls|paths|subdomains|proto
wordpress.com|http://cusoon.files.wordpress.com/;http://alasseblog.files.wordpress.com/;http://palavrassemsentido.files.wordpress.com/;http://palavrassussurradas.wordpress.com/|/||HTTPS;HTTP
predicta.com.br|http://jovem.ig.atmo.predicta.com.br/|/||HTTPS;HTTP
oi.com.br|http://www.fashionrio.oi.com.br/;http://fashionrio.oi.com.br/|/||HTTP
charges.com.br|http://www.charges.com.br/;http://charges.com.br/|/||HTTPS;HTTP
abril.com.br|http://mundoestranho.abril.com.br/|/||HTTPS;HTTP
cdof.com.br|http://cdof.com.br/;http://www.cdof.com.br/|/||HTTPS;HTTP
cedipod.org.br|http://cedipod.org.br/;http://www.cedipod.org.br/|/||HTTPS;HTTP
clickarvore.com.br|http://clickarvore.com.br/;http://www.clickarvore.com.br/|/||HTTPS;HTTP
ananke.com.br|http://exposicao.clientes.ananke.com.br/|/||HTTP
escoladebicicleta.com.br|http://escoladebicicleta.com.br/;http://www.escoladebicicleta.com.br/|/||HTTPS;HTTP
saude.gov.br|http://bvsms.saude.gov.br/|/||HTTP
fatorx.net|http://www.fatorx.net/;http://fatorx.net/|/||HTTPS;HTTP
finissimo.com.br|http://finissimo.com.br/;http://www.finissimo.com.br/|/||HTTPS;HTTP
guiadamooca.com.br|http://guiadamooca.com.br/;http://www.guiadamooca.com.br/|/||HTTPS;HTTP
guiatrabalhista.com.br|http://guiatrabalhista.com.br/;http://www.guiatrabalhista.com.br/|/||HTTPS;HTTP
atoananet.com.br|http://atoananet.com.br/;http://www.atoananet.com.br/|/||HTTPS;HTTP
guiadoscuriosos.com.br|http://guiadoscuriosos.com.br/;http://www.guiadoscuriosos.com.br/|/||HTTPS;HTTP
luizmeira.com|http://www.luizmeira.com/;http://luizmeira.com/|/||HTTPS;HTTP
ceticismoaberto.com|http://ceticismoaberto.com/;http://www.ceticismoaberto.com/|/||HTTPS;HTTP
lendas.orixas.nom.br|http://www.lendas.orixas.nom.br/;http://lendas.orixas.nom.br/|/||HTTPS;HTTP
terra.com.br|http://barras.virgula.terra.com.br/;http://terra.com.br/curiosidades/;http://ofuxico.terra.com.br/;http://beleza.terra.com.br/;http://abcdasaude.terra.com.br/;http://cyberdiet.terra.com.br/;http://www.terra.com.br/curiosidades/|/;/curiosidades/||HTTPS;HTTP
dihitt.com.br|http://www.dihitt.com.br/;http://dihitt.com.br/|/||HTTPS;HTTP
normaslegais.com.br|http://www.normaslegais.com.br/;http://normaslegais.com.br/|/||HTTPS;HTTP
andafter.org|http://www.andafter.org/;http://andafter.org/|/||HTTPS;HTTP
zip.net|http://clubedassereias.zip.net/;http://galeriadafama.zip.net/;http://www.clubedassereias.zip.net/|/||HTTP
mundoverde.com.br|http://mundoverde.com.br/;http://www.mundoverde.com.br/|/||HTTPS;HTTP
existenz.se|http://existenz.se/;http://www.existenz.se/|/||HTTPS;HTTP
celebrity-gossip.net|http://www.celebrity-gossip.net/;http://celebrity-gossip.net/|/||HTTPS;HTTP
inema.com.br|http://www.inema.com.br/;http://inema.com.br/|/||HTTP
apoioaoconsumidor.com.br|http://www.apoioaoconsumidor.com.br/;http://apoioaoconsumidor.com.br/|/||HTTPS;HTTP
filologia.org.br|http://filologia.org.br/;http://www.filologia.org.br/|/||HTTPS;HTTP
embrapa.br|http://www.cdbrasil.cnpm.embrapa.br/;http://cdbrasil.cnpm.embrapa.br/|/||HTTPS;HTTP
ginasticas.com|http://ginasticas.com/;http://www.ginasticas.com/|/||HTTPS;HTTP
ufms.br|http://www.mscontraapedofilia.ufms.br/;http://mscontraapedofilia.ufms.br/|/||HTTPS;HTTP
gargantadaserpente.com|http://gargantadaserpente.com/;http://www.gargantadaserpente.com/|/||HTTPS;HTTP
historiadomundo.com.br|http://historiadomundo.com.br/;http://www.historiadomundo.com.br/|/||HTTPS;HTTP
