domain|urls|paths|subdomains|proto
blogspot.com|http://www.cracksdownloads.blogspot.com/;http://www.blog-allinone.blogspot.com/;http://www.baixenamoleza.blogspot.com/;http://downsfire.blogspot.com/;http://cineexplosivo.blogspot.com/;http://filmes-khrime.blogspot.com/;http://www.catatudofree.blogspot.com/;http://baixarfilmesviatorrent.blogspot.com/;http://betinhosuperdownloads.blogspot.com/;http://depositodeslinksdownloadingall.blogspot.com;http://tsp-downloads.blogspot.com;http://grand-theft-auto-san-andreas-brasil.blogspot.com/;http://portaldosdownloads.blogspot.com;http://updownloads.blogspot.com/;http://dedoroxo.blogspot.com/;http://www.baixaki-filmes.blogspot.com/;http://www.gamesehaki.blogspot.com/;http://snoopdown.blogspot.com/;http://cracksdownloads.blogspot.com/;http://kolom-tutorial.blogspot.com/;http://tridowns.blogspot.com/;http://fbm-downloads.blogspot.com/;http://www.baixebr-3.blogspot.com/;http://www.narosca.blogspot.com/;http://www.tridowns.blogspot.com/;http://www.downloadmp3rock.blogspot.com;http://baixalivremente.blogspot.com/;http://www.kolom-tutorial.blogspot.com/;http://www.parowski.blogspot.com/;http://www.bannanacom.blogspot.com/;http://bannanacom.blogspot.com/;http://cinecomcoca.blogspot.com/;http://www.down0day.blogspot.com/;http://worldtorrent.blogspot.com/;http://www.ags-downloads.blogspot.com/;http://www.diogotemtudo.blogspot.com/;http://casadomp3gratis.blogspot.com/;http://www.worldtorrent.blogspot.com/;http://portableappz.blogspot.com/;http://www.softwareeoutros.blogspot.com/;http://www.baixalivremente.blogspot.com/;http://mp3noorkut.blogspot.com/;http://toquesengracadosmp3.blogspot.com/;http://www.quinho-detudoumpouco.blogspot.com/;http://www.exclusividaderafacd.blogspot.com/;http://dwgratis.blogspot.com/;http://www.sopranosdownloads.blogspot.com/;http://filmescompletosparadownload.blogspot.com;http://www.freedownload-z.blogspot.com/;http://baixenamoleza.blogspot.com/;http://www.gamesprojectx.blogspot.com/;http://updownloadsbr.blogspot.com/;http://8shared.blogspot.com/;http://www.downsfire.blogspot.com/;http://www.fulldownsgratis.blogspot.com/;http://www.lasvegasdownloads.blogspot.com/;http://www.downfilmesbr.blogspot.com/;http://www.cinemusika.blogspot.com/;http://prisonbreakdownload.blogspot.com;http://msntruques.blogspot.com/;http://markinhosmga.blogspot.com/;http://portablebrasil.blogspot.com/;http://djzeroo.blogspot.com/;http://www.topdownloadspe.blogspot.com/;http://www.baixajah.blogspot.com/;http://www.gratisprabaixar.blogspot.com/;http://diogotemtudo.blogspot.com/;http://www.iradogames.blogspot.com/;http://ksrgames.blogspot.com/;http://deusesdaweb.blogspot.com/;http://blog-allinone.blogspot.com/;http://depositodosdownloads.blogspot.com/;http://baixarfilmeemusica.blogspot.com;http://downloadingall.blogspot.com;http://lasvegasdownloads.blogspot.com/;http://quinho-detudoumpouco.blogspot.com/;http://depositodomp3.blogspot.com/;http://fileplanetbr.blogspot.com/;http://www.akicmanda.blogspot.com/;http://www.depositodomp3.blogspot.com/;http://www.filmes-khrime.blogspot.com/;http://ags-downloads.blogspot.com/;http://www.toquesengracadosmp3.blogspot.com/;http://www.freedownloadinternet.blogspot.com/;http://explorer-netvirtua.blogspot.com/;http://www.msntruques.blogspot.com/;http://cemmilfilmes.blogspot.com/;http://brazildownload.blogspot.com/;http://softwareeoutros.blogspot.com/;http://www.filmesfree2008.blogspot.com/;http://download-brasil.blogspot.com;http://down0day.blogspot.com/;http://www.filmescompletosparadownload.blogspot.com;http://breckstoydownloads.blogspot.com/;http://coyote-downloads.blogspot.com/;http://baixe-na-net.blogspot.com/;http://www.bibliotecadodownload.blogspot.com/;http://cinemaafinsedownload.blogspot.com;http://showfiles.blogspot.com/;http://www.filenetworks.blogspot.com/;http://www.ksrgames.blogspot.com/;http://downloadplace.blogspot.com;http://downloadsdodi.blogspot.com;http://www.cineexplosivo.blogspot.com/;http://godownloadcs.blogspot.com/;http://exclusividaderafacd.blogspot.com/;http://digital-downs.blogspot.com/;http://progsprodownload.blogspot.com/;http://gamesprojectx.blogspot.com/;http://freedownloadinternet.blogspot.com/;http://www.casadomp3gratis.blogspot.com/;http://filmesfree2008.blogspot.com/;http://www.digital-downs.blogspot.com/;http://www.megadownloadbrasil.blogspot.com/;http://www.ultradawnloads.blogspot.com/;http://www.coyote-downloads.blogspot.com/;http://www.godownloadcs.blogspot.com/;http://artbrasukas.blogspot.com/;http://www.fbm-downloads.blogspot.com/;http://www.8shared.blogspot.com/;http://www.blogdosforistas.blogspot.com/;http://nabaladarox.blogspot.com/;http://www.baixaquigames.blogspot.com/;http://www.progsprodownload.blogspot.com/;http://www.portablebrasil.blogspot.com/;http://www.snoopdown.blogspot.com/;http://downfilmesbr.blogspot.com/;http://www.explorer-netvirtua.blogspot.com/;http://elitedosgame.blogspot.com/;http://www.depositodosdownloads.blogspot.com/;http://www.elitedosgame.blogspot.com/;http://shockdownloads.blogspot.com/;http://www.filmesparapc.blogspot.com/;http://www.downloaddeclipesemusicas.blogspot.com/;http://filmesfaceis.blogspot.com/;http://ns-piva.blogspot.com/;http://narosca.blogspot.com/;http://www.grand-theft-auto-san-andreas-brasil.blogspot.com/;http://blog-infonews.blogspot.com/;http://www.dwgratis.blogspot.com/;http://fulldownsgratis.blogspot.com/;http://freedownload-z.blogspot.com/;http://www.coletaneabr.blogspot.com/;http://baixaki-filmes.blogspot.com/;http://baixaquigames.blogspot.com/;http://ultradawnloads.blogspot.com/;http://www.mp3noorkut.blogspot.com/;http://baixebr-3.blogspot.com/;http://omundogeek.blogspot.com/;http://www.baixenet.blogspot.com/;http://www.dedoroxo.blogspot.com/;http://filmesparapc.blogspot.com/;http://www.filmespsp.blogspot.com/;http://www.blog-infonews.blogspot.com/;http://gratisprabaixar.blogspot.com/;http://www.hiperfusion.blogspot.com/;http://downloaddeclipesemusicas.blogspot.com/;http://www.baixe-na-net.blogspot.com/;http://blogdosportateis.blogspot.com/;http://www.cinecomcoca.blogspot.com/;http://www.deusesdaweb.blogspot.com/;http://www.baixakidetudo.blogspot.com;http://www.shockdownloads.blogspot.com/;http://hiperfusion.blogspot.com/;http://baixenet.blogspot.com/;http://megadownloadbrasil.blogspot.com/;http://bibliotecadodownload.blogspot.com/;http://justfilmeseseriados.blogspot.com/;http://www.cemmilfilmes.blogspot.com/;http://www.justfilmeseseriados.blogspot.com/;http://www.updownloadsbr.blogspot.com/;http://www.fileplanetbr.blogspot.com/;http://www.artbrasukas.blogspot.com/;http://akicmanda.blogspot.com/;http://www.updownloads.blogspot.com/;http://www.bigdows.blogspot.com/;http://www.omundogeek.blogspot.com/;http://www.1pordownload.blogspot.com/;http://detudoprabaixar.blogspot.com;http://www.baixarfilmesviatorrent.blogspot.com/;http://www.portableappz.blogspot.com/;http://www.nabaladarox.blogspot.com/;http://temakii.blogspot.com/;http://bigdows.blogspot.com/;http://parowski.blogspot.com/;http://coletaneabr.blogspot.com/;http://mdmundodownloads.blogspot.com/;http://www.blogdosportateis.blogspot.com/;http://topdownloadspe.blogspot.com/;http://www.baixevip10.blogspot.com/;http://www.breckstoydownloads.blogspot.com/;http://gamesehaki.blogspot.com/;http://iradogames.blogspot.com/;http://filmespsp.blogspot.com/;http://www.djzeroo.blogspot.com/;http://www.filmesfaceis.blogspot.com/;http://www.markinhosmga.blogspot.com/;http://baixajah.blogspot.com/;http://www.showfiles.blogspot.com/;http://sopranosdownloads.blogspot.com/;http://blogdosforistas.blogspot.com/;http://www.temakii.blogspot.com/;http://catatudofree.blogspot.com/;http://potsdan.blogspot.com/;http://www.ns-piva.blogspot.com/;http://baixakiextreme.blogspot.com;http://www.betinhosuperdownloads.blogspot.com/;http://www.mdmundodownloads.blogspot.com/;http://www.brazildownload.blogspot.com/;http://www.potsdan.blogspot.com/;http://filenetworks.blogspot.com/;http://1pordownload.blogspot.com/;http://baixevip10.blogspot.com/;http://cinemusika.blogspot.com/|;/||HTTPS;HTTP
predicta.com.br|http://baixaki.ig.atmo.predicta.com.br/|/||HTTPS;HTTP
xpg.com.br|http://dileval.xpg.com.br/;http://www.baixarbr.xpg.com.br/;http://www.dileval.xpg.com.br/;http://baixarbr.xpg.com.br/;http://www.encoder.xpg.com.br/;http://encoder.xpg.com.br/|/||HTTPS;HTTP
uol.com.br|http://roxdownload5.sites.uol.com.br;http://home.downloads.uol.com.br;http://superdownloads.uol.com.br/;http://oportunidades.superdownloads.uol.com.br/;http://p.download.uol.com.br;http://apenasgifshp.sites.uol.com.br/;http://imagens.superdownloads.uol.com.br;http://ferramentas.download.uol.com.br;http://roxdownloads.sites.uol.com.br;http://download.uol.com.br;http://downloads.uol.com.br|;/||HTTPS;HTTP
globo.com|http://download.globo.com;http://baixatudo.globo.com;http://download3.globo.com|||HTTP
wordpress.com|http://downlogo.files.wordpress.com/;http://plantabaixa.wordpress.com;http://downlload.wordpress.com/;http://macedom.wordpress.com/;http://sharingyoochun.wordpress.com/;http://downlogo.wordpress.com/;http://plantabaixa.files.wordpress.com|;/||HTTPS;HTTP
baixaki.com.br|http://baixaki.com.br|||HTTPS;HTTP
bitdefender.com|http://download.bitdefender.com|||HTTPS;HTTP
googlepages.com|http://berinjeladownloads.googlepages.com|||HTTPS;HTTP
oi.com.br|http://download.oi.com.br|||HTTP
123bay.info|http://123bay.info/;http://www.123bay.info/|/||HTTPS;HTTP
divshare.com|http://athena.divshare.com;http://www.divshare.com;http://hera.divshare.com|||HTTPS;HTTP
google.com|http://desktop.google.com/;http://earth.google.com/;http://pack.google.com/|/||HTTPS;HTTP
metin2.com.br|http://download.metin2.com.br|||HTTPS;HTTP
cheatengine.org|http://www.cheatengine.org/;http://cheatengine.org/|/||HTTPS;HTTP
imusica.com.br|http://download.imusica.com.br|||HTTPS;HTTP
mp3.com|http://download.mp3.com|||HTTPS;HTTP
piriform.com|http://download.piriform.com|||HTTPS;HTTP
arnit.net|http://www.arnit.net/;http://arnit.net/|/||HTTPS;HTTP
gulli.com|http://dl4.cb-nbg.share.gulli.com;http://share.gulli.com|||HTTPS;HTTP
ig.com.br|http://usuarios.baixaki.ig.com.br/;http://www.baixaki.ig.com.br;http://baixakijogos.ig.com.br;http://baixaki.ig.com.br|;/||HTTP
msn.com|http://blstc.msn.com/br/intl/spec/pt-br/js/chanalizerfoot20071004.js;http://download.encarta.msn.com|/br/intl/spec/pt-br/js/chanalizerfoot20071004.js;||HTTPS;HTTP
bigpichost.com|http://bigpichost.com/;http://www.bigpichost.com/|/||HTTPS;HTTP
0catch.com|http://www.0catch.com;http://0catch.com|||HTTPS;HTTP
yahoo.com|http://br.update.companion.yahoo.com/;http://download.toolbar.yahoo.com;http://download.games.yahoo.com;http://download.finance.yahoo.com;http://uk.update.toolbar.yahoo.com/;http://download2.games.yahoo.com|;/||HTTPS;HTTP
deturl.com|http://deturl.com/;http://www.deturl.com/|/||HTTPS;HTTP
cabri.com|http://download.cabri.com|||HTTPS;HTTP
nireblog.com|http://abcdopc.nireblog.com/|/||HTTP
box.com|http://box.com/;http://www.box.com/|/||HTTPS;HTTP
crawler.com|http://download.crawler.com|||HTTPS;HTTP
1-day.co.nz|http://www.1-day.co.nz;http://1-day.co.nz|||HTTPS;HTTP
adobe.com|http://fpdownload.adobe.com;http://download.adobe.com;http://ardownload.adobe.com|||HTTPS;HTTP
linkedin.com|http://download.linkedin.com|||HTTPS;HTTP
microsoft.com|http://epg.tvdownload.microsoft.com;http://download.microsoft.com;http://svcs.microsoft.com/|;/||HTTPS;HTTP
baixarfilmeseseries.com|http://baixarfilmeseseries.com/;http://www.baixarfilmeseseries.com/|/||HTTP
