domain|urls|paths|subdomains|proto
webs.com|http://buddhabuds.webs.com/;http://the-marijuana-blog.webs.com/|/||HTTPS;HTTP
msjekyll.com|http://absinthe.msjekyll.com/|/||HTTPS;HTTP
avramdavidson.org|http://avramdavidson.org/;http://www.avramdavidson.org/|/||HTTPS;HTTP
cannabisculture.com|http://cannabisculture.com/;http://www.cannabisculture.com/|/||HTTPS;HTTP
420-greenkingdom.com|http://www.420-greenkingdom.com/;http://420-greenkingdom.com/|/||HTTP
barmeister.com|http://www.barmeister.com/;http://barmeister.com/|/||HTTP
cannabis-seeds.co.uk|http://cannabis-seeds.co.uk/;http://www.cannabis-seeds.co.uk/|/||HTTPS;HTTP
cheechandchong.com|http://cheechandchong.com/;http://www.cheechandchong.com/|/||HTTPS;HTTP
crazyjoe.org|http://crazyjoe.org/|/||HTTPS;HTTP
cannabis.info|http://cannabis.info/;http://www.cannabis.info/|/||HTTPS;HTTP
cures-not-wars.org|http://www.cures-not-wars.org/;http://cures-not-wars.org/|/||HTTPS;HTTP
drugs.com|http://drugs.com/|/||HTTPS;HTTP
cannaweed.com|http://cannaweed.com/;http://www.cannaweed.com/|/||HTTPS;HTTP
concept420.com|http://www.concept420.com/;http://concept420.com/|/||HTTPS;HTTP
iastate.edu|http://chem.iastate.edu/|/||HTTP
grasscity.com|http://www.grasscity.com/;http://grasscity.com/|/||HTTPS;HTTP
tripod.com|http://crackhead801.tripod.com/;http://codeinepub.tripod.com/|/||HTTP
wikipedia.org|http://www.ru.wikipedia.org/wiki/%d0%9a%d1%83%d1%80%d0%b5%d0%bd%d0%b8%d0%b5_%d0%ba%d0%b0%d0%bd%d0%bd%d0%b0%d0%b1%d0%b8%d1%81%d0%b0/;http://www.en.wikipedia.org/wiki/vaporizer_%28cannabis%29/;http://en.wikipedia.org/wiki/vaporizer_%28cannabis%29/;http://ru.wikipedia.org/wiki/%d0%9a%d1%83%d1%80%d0%b5%d0%bd%d0%b8%d0%b5_%d0%ba%d0%b0%d0%bd%d0%bd%d0%b0%d0%b1%d0%b8%d1%81%d0%b0/|/wiki/%d0%9a%d1%83%d1%80%d0%b5%d0%bd%d0%b8%d0%b5_%d0%ba%d0%b0%d0%bd%d0%bd%d0%b0%d0%b1%d0%b8%d1%81%d0%b0/;/wiki/vaporizer_%28cannabis%29/||HTTPS;HTTP
hempsearch.com|http://hempsearch.com/;http://www.hempsearch.com/|/||HTTPS;HTTP
columbia.edu|http://goaskalice.columbia.edu/|/||HTTPS;HTTP
howtogrowmarijuana.com|http://howtogrowmarijuana.com/;http://www.howtogrowmarijuana.com/|/||HTTPS;HTTP
cleartest.com|http://cleartest.com/|/||HTTPS;HTTP
