domain|urls|paths|subdomains|proto
uol.com.br|http://mundoeducacao.uol.com.br/;http://michaelis.uol.com.br/;http://educacao.uol.com.br/;http://emefjosemariapintoduarte.vilabol.uol.com.br/;http://acervos.ims.uol.com.br/;http://biblioteca.uol.com.br/|/||HTTPS;HTTP
unesp.br|http://agr.feis.unesp.br/;http://unesp.br/;http://www.agr.feis.unesp.br/;http://fclar.unesp.br/;http://www.faac.unesp.br/;http://www.unesp.br/;http://www.fclar.unesp.br/;http://faac.unesp.br/|/||HTTPS;HTTP
usp.br|http://cdcc.sc.usp.br/;http://bibvirt.futuro.usp.br/;http://infoener.iee.usp.br/;http://www.poli.usp.br/;http://www.usp.br/;http://www.hcnet.usp.br/;http://usp.br/;http://www.lmc.ep.usp.br/;http://lmc.ep.usp.br/;http://fma.if.usp.br/;http://each.usp.br/;http://pediatriasaopaulo.usp.br/;http://moodle.redealuno.usp.br/;http://www.cepa.if.usp.br/;http://www.bibvirt.futuro.usp.br/;http://www.cdcc.sc.usp.br/;http://www.each.usp.br/;http://educar.sc.usp.br/;http://teses.usp.br/;http://ecalculo.if.usp.br/;http://cepa.if.usp.br/;http://ib.usp.br/;http://www.ib.usp.br/;http://www.futuro.usp.br/;http://www.pediatriasaopaulo.usp.br/;http://poli.usp.br/;http://hcnet.usp.br/;http://www.teses.usp.br/;http://futuro.usp.br/|/||HTTPS;HTTP
multiply.com|http://www.pimentelclass.multiply.com/;http://images.rubenspaiva.multiply.com/;http://pimentelclass.multiply.com/;http://rubenspaiva.multiply.com/;http://capistranoabreu.multiply.com/;http://images.pimentelclass.multiply.com/|/||HTTPS;HTTP
prefeitura.sp.gov.br|http://arqs.portaleducacao.prefeitura.sp.gov.br/|/||HTTPS;HTTP
ufrj.br|http://bioqmed.ufrj.br/;http://www.pr1.ufrj.br/;http://www.bioqmed.ufrj.br/;http://intervox.nce.ufrj.br/;http://pr1.ufrj.br/|/||HTTPS;HTTP
netsaber.com.br|http://apostilas.netsaber.com.br/|/||HTTPS;HTTP
googlepages.com|http://brigeiropinto.googlepages.com/|/||HTTPS;HTTP
abed.org.br|http://www2.abed.org.br/;http://abed.org.br/;http://www.abed.org.br/|/||HTTPS;HTTP
abitep.com.br|http://www.abitep.com.br/;http://abitep.com.br/|/||HTTPS;HTTP
abra.com.br|http://www.abra.com.br/;http://abra.com.br/|/||HTTPS;HTTP
acaoeducativa.org.br|http://www.acaoeducativa.org.br/;http://acaoeducativa.org.br/|/||HTTP
amorc.org.br|http://www.amorc.org.br/;http://amorc.org.br/|/||HTTPS;HTTP
alb.com.br|http://www.alb.com.br/;http://alb.com.br/|/||HTTPS;HTTP
academia.org.br|http://academia.org.br/;http://www.academia.org.br/|/||HTTP
