domain|urls|paths|subdomains|proto
uol.com.br|http://horoscopo.uol.com.br/;http://www.uol.com.br/bemzen;http://cf3.uol.com.br:8000/bemzen/bypass.asp;http://xango.sites.uol.com.br/;http://www.uol.com.br/astral;http://astral.uol.com.br/;http://www.uol.com.br/quiroga|/bemzen;/quiroga;/astral;:8000/bemzen/bypass.asp;/||HTTPS;HTTP
zip.net|http://enos2.zip.net/astrologia;http://zw01.zip.net/astral;http://astral.zip.net|;/astrologia;/astral||HTTP
bol.com.br|http://www.bol.com.br/astrologia;http://esoterico.bol.com.br/|/astrologia;/||HTTPS;HTTP
globo.com|http://horoscopo.ego.globo.com/;http://oglobo.globo.com/cultura/horoscopo;http://guruweb.globo.com|;/cultura/horoscopo;/||HTTP
supersitesdaweb.com|http://www.supersitesdaweb.com/astrologia_esoterismo.htm;http://supersitesdaweb.com/astrologia_esoterismo.htm|/astrologia_esoterismo.htm||HTTPS;HTTP
acessa.com|http://acessa.com/astral/;http://www.acessa.com/astral/|/astral/||HTTPS;HTTP
atarde.com.br|http://www.atarde.com.br/horoscopo/;http://atarde.com.br/horoscopo/|/horoscopo/||HTTPS;HTTP
aonde.com|http://www.aonde.com/indicacao/sociedade/numerologia_advinhacao.htm;http://aonde.com/indicacao/sociedade/numerologia_advinhacao.htm|/indicacao/sociedade/numerologia_advinhacao.htm||HTTPS;HTTP
diarioweb.com.br|http://diarioweb.com.br/horoscopo/;http://www.diarioweb.com.br/horoscopo/|/horoscopo/||HTTPS;HTTP
somostodosum.com.br|http://www.somostodosum.com.br/;http://somostodosum.com.br/|/||HTTPS;HTTP
cidadeinternet.com.br|http://guruweb.cidadeinternet.com.br/|/||HTTPS;HTTP
esoterikha.com|http://esoterikha.com/;http://www.esoterikha.com/|/||HTTPS;HTTP
caminhosluz.com.br|http://caminhosluz.com.br/;http://www.caminhosluz.com.br/|/||HTTPS;HTTP
abril.com.br|http://contigo.abril.com.br/horoscopo/|/horoscopo/||HTTPS;HTTP
gnosisonline.org|http://gnosisonline.org/;http://www.gnosisonline.org/|/||HTTPS;HTTP
terra.com.br|http://www.terra.com.br/cgi-bin/index_frame/esoterico/;http://terra.com.br/cgi-bin/index_frame/esoterico/;http://www.terra.com.br/esoterico;http://www.terra.com.br/portodoceu;http://estrelaguia.virgula.terra.com.br/;http://www.terra.com.br/planetanaweb;http://terra.com.br/esoterico/|/esoterico/;/esoterico;/portodoceu;/cgi-bin/index_frame/esoterico/;/planetanaweb;/||HTTPS;HTTP
horoscopovirtual.com.br|http://horoscopovirtual.com.br/;http://www.horoscopovirtual.com.br/|/||HTTPS;HTTP
