domain|urls|paths|subdomains|proto
cjb.net|http://www.jfarol.cjb.net/;http://www.regionalonline.cjb.net/;http://www.folhalitoral.cjb.net/;http://jornalmillenium.cjb.net/;http://www.dipaula.cjb.net/;http://www.jequienet.cjb.net/;http://jornaldamanha.cjb.net/;http://montalvo.cjb.net/;http://www.jornaldejales.cjb.net/;http://www.gazetacrista.cjb.net/;http://www.jornalpa.cjb.net/;http://www.jovial.cjb.net/;http://www.ofarol.cjb.net/;http://portonorte.cjb.net/;http://recreio.cjb.net/;http://www.sacranews.cjb.net/;http://jornalpa.cjb.net/;http://alce.cjb.net/;http://www.radarnews.cjb.net;http://www.altosf.cjb.net/;http://www.jornalimprensa.cjb.net;http://guanhaes.cjb.net/;http://regionalonline.cjb.net/;http://www.jornaldopovo.cjb.net/;http://noroeste.cjb.net/;http://www.entrelinhas.cjb.net/;http://www.alce.cjb.net/;http://www.lestehoje.cjb.net/;http://gazetacrista.cjb.net/;http://jornaldopovo.cjb.net/;http://jequienet.cjb.net/;http://jornaldejales.cjb.net/;http://www.jornaldamanha.cjb.net/;http://www.montalvo.cjb.net/;http://www.noroeste.cjb.net/;http://www.apucarananetnews.cjb.net/;http://anoticia.cjb.net/;http://linsonline.cjb.net/;http://ofarol.cjb.net/;http://apucarananetnews.cjb.net/;http://www.semfronteiras.cjb.net/;http://dipaula.cjb.net/;http://pvarela.cjb.net/;http://www.guanhaes.cjb.net/;http://www.recreio.cjb.net/;http://www.jornaldebambui.cjb.net/;http://jornalimprensa.cjb.net/;http://www.jornalmillenium.cjb.net/;http://www.linsonline.cjb.net/;http://entrelinhas.cjb.net/;http://lestehoje.cjb.net/;http://altosf.cjb.net/;http://www.pvarela.cjb.net/;http://jfarol.cjb.net/;http://semfronteiras.cjb.net/;http://jovial.cjb.net/;http://www.anoticia.cjb.net/;http://sacranews.cjb.net/;http://jornaldebambui.cjb.net/;http://www.portonorte.cjb.net/|;/||HTTPS;HTTP
uol.com.br|http://media.folha.uol.com.br;http://busca.folha.uol.com.br;http://wnews.uol.com.br;http://www.folha.uol.com.br/;http://www.uol.com.br/oestadoma;http://emacao.folha.uol.com.br;http://www.uol.com.br/fsp;http://noticias.uol.com.br/jornais/;http://www.uol.com.br/avozdaserra;http://www.uol.com.br/gazetapr;http://www.uol.com.br/tododia;http://almanaque.folha.uol.com.br;http://www.uol.com.br/jcrs;http://www.uol.com.br/vozdaterra;http://www.uol.com.br/agora;http://www.uol.com.br/folha;http://www2.uol.com.br/jc;http://www.uol.com.br/tribunadealagoas;http://sites.uol.com.br/russa-no;http://sites.uol.com.br/acontece;http://www.uol.com.br/odia;http://feeds.folha.uol.com.br;http://www1.folha.uol.com.br;http://datafolha.folha.uol.com.br;http://cacilda.folha.blog.uol.com.br;http://www.uol.com.br/np;http://sites.uol.com.br/jornal.cidades/;http://www.uol.com.br/jornaldelondrina|;/fsp;/oestadoma;/odia;/avozdaserra;/jornal.cidades/;/np;/folha;/jornaldelondrina;/agora;/vozdaterra;/jornais/;/tododia;/tribunadealagoas;/acontece;/jc;/jcrs;/russa-no;/gazetapr;/||HTTPS;HTTP
boston.com|http://www.boston.com/;http://boston.com/|/||HTTPS;HTTP
bjd.com.br|http://www.bjd.com.br/;http://bjd.com.br/|/||HTTPS;HTTP
oglobo.com.br|http://oglobo.com.br/;http://canal.oglobo.com.br|;/||HTTP
an.com.br|http://www.an.com.br;http://an.com.br/|;/||HTTP
tche.br|http://atlas.ucpel.tche.br/~franco/jornais|/~franco/jornais||HTTPS;HTTP
globo.com|http://cocoon.globo.com/;http://diariodonordeste.globo.com/;http://globonews.globo.com;http://horoscopo.ego.globo.com/signos/;http://comentarios.globo.com/;http://ela.oglobo.globo.com/;http://oglobo.globo.com;http://jornalhoje.globo.com/;http://radioclick.globo.com/cbn;http://extra.globo.com/;http://gazetaonline.globo.com/;http://gazetaweb.globo.com/|;/signos/;/;/cbn||HTTP
folha.com.br|http://search.folha.com.br;http://stats.folha.com.br;http://assine.folha.com.br;http://hotsites.folha.com.br;http://englishtown.folha.com.br;http://tools.folha.com.br;http://alonegocios.folha.com.br;http://polls.folha.com.br;http://redir.folha.com.br;http://www1.folha.com.br|||HTTPS;HTTP
anpr.org.br|http://www.anpr.org.br/;http://anpr.org.br/|/||HTTPS;HTTP
