domain|urls|paths|subdomains|proto
cjb.net|http://www.leilaonline.cjb.net/;http://www.leiloeiroega.cjb.net/;http://brechomundi.cjb.net/;http://www.leiloeiro.cjb.net/;http://www.leilaoonline.cjb.net/;http://www.grandesleiloes.cjb.net/|/||HTTPS;HTTP
bol.com.br|http://fariasleiloeiros.vila.bol.com.br/|/||HTTPS;HTTP
uol.com.br|http://sites.uol.com.br/nanor/leilao1.htm;http://leilao.uol.com.br/|/;/nanor/leilao1.htm||HTTPS;HTTP
bigleilao.com.br|http://www.bigleilao.com.br/;http://bigleilao.com.br/|/||HTTPS;HTTP
casadeleiloes.com.br|http://www.casadeleiloes.com.br/;http://casadeleiloes.com.br/|/||HTTPS;HTTP
nossoleilao.com.br|http://www.nossoleilao.com.br/;http://nossoleilao.com.br/|/||HTTPS;HTTP
detran.ba.gov.br|http://www.detran.ba.gov.br/leilao/;http://detran.ba.gov.br/leilao/|/leilao/||HTTP
schulmannleiloes.com.br|http://www.schulmannleiloes.com.br/;http://schulmannleiloes.com.br/|/||HTTPS;HTTP
mercadolibre.com.ve|http://computacion.mercadolibre.com.ve;http://eshops.mercadolibre.com.ve;http://guia.mercadolibre.com.ve;http://pmspxl.mercadolibre.com.ve;http://fd.mercadolibre.com.ve;http://articulo.mercadolibre.com.ve;http://vehiculos.mercadolibre.com.ve;http://listado.mercadolibre.com.ve;http://smartad.mercadolibre.com.ve;http://pmssrv.mercadolibre.com.ve;http://pmstrk.mercadolibre.com.ve|||HTTPS;HTTP
ebayobjects.com.au|http://au.ebayobjects.com.au;http://intl.ebayobjects.com.au|||HTTP
mercadolivre.com.br|http://dvd-players.mercadolivre.com.br;http://motos.mercadolivre.com.br/;http://veiculos.mercadolivre.com.br;http://fd.mercadolivre.com.br;http://articulo.mercadolivre.com.br;http://informatica.mercadolivre.com.br;http://smartad.mercadolivre.com.br;http://cameras-digitais.mercadolivre.com.br;http://guia.mercadolivre.com.br;http://notebooks.mercadolivre.com.br;http://pmssrv.mercadolivre.com.br;http://telefonia.mercadolivre.com.br;http://playstation-2.mercadolivre.com.br;http://pmstrk.mercadolivre.com.br;http://tendencias.mercadolivre.com.br;http://produto.mercadolivre.com.br;http://img.mercadolivre.com.br;http://lista.mercadolivre.com.br;http://celulares.mercadolivre.com.br;http://eletronicos.mercadolivre.com.br;http://pmspxl.mercadolivre.com.br;http://eshops.mercadolivre.com.br;http://cameras.mercadolivre.com.br;http://mp3.mercadolivre.com.br;http://carros.mercadolivre.com.br;http://opiniao.mercadolivre.com.br;http://televisores.mercadolivre.com.br;http://colecoes.mercadolivre.com.br|;/||HTTPS;HTTP
thepiratebay.org|http://torrents.thepiratebay.org;http://open.tracker.thepiratebay.org:80;http://static.thepiratebay.org;http://tpb.tracker.thepiratebay.org;http://tv.tracker.thepiratebay.org;http://tracker.thepiratebay.org|;:80||HTTPS;HTTP
mercadolibre.com.pa|http://listado.mercadolibre.com.pa;http://pmstrk.mercadolibre.com.pa;http://pmssrv.mercadolibre.com.pa;http://articulo.mercadolibre.com.pa;http://pmspxl.mercadolibre.com.pa|||HTTPS;HTTP
geocities.com|http://www.geocities.com/sunsetstrip/amphitheatre/2226/negocio.htm;http://www.geocities.com/rodeodrive/outlet/4202/index.htm;http://br.geocities.com/beneficente|/beneficente;/rodeodrive/outlet/4202/index.htm;/sunsetstrip/amphitheatre/2226/negocio.htm||HTTPS;HTTP
ebay.com|http://pages.motors.ebay.com;http://search-lvm.ebay.com;http://my.ebay.com;http://promo.ebay.com;http://open.api.ebay.com;http://offer.ebay.com;http://feedback.express.ebay.com;http://art.search.ebay.com;http://electronics.search.ebay.com;http://collectibles.search.ebay.com;http://click2.ebay.com;http://instruments.ebay.com;http://sports.ebay.com;http://motors.search.ebay.com;http://search.product.ebay.com;http://sofe.ebay.com;http://search-completed.ebay.com;http://www.express.ebay.com;http://collectibles.listings.ebay.com;http://dvd.search.ebay.com;http://video-games.search.ebay.com;http://instruments.listings.ebay.com;http://www.half.ebay.com;http://attr-search.ebay.com;http://cell-phones.search.ebay.com;http://entertainment-memorabilia.search.ebay.com;http://global.ebay.com;http://lapi.ebay.com;http://search-desc.ebay.com;http://motors.ebay.com;http://search.express.ebay.com;http://cart.half.ebay.com;http://pages.ebay.com;http://ilapi.ebay.com;http://motors.listings.ebay.com;http://clothing.search.ebay.com;http://bmsgs.ebay.com;http://cell-phones.listings.ebay.com;http://frame.ebay.com;http://pics.half.ebay.com;http://www.motors.ebay.com;http://search.reviews.ebay.com;http://rover.ebay.com;http://product.ebay.com;http://product.half.ebay.com;http://buy.ebay.com;http://click3.ebay.com;http://frame.express.ebay.com;http://computers.ebay.com;http://art.listings.ebay.com;http://books.search.ebay.com;http://everythingelse.search.ebay.com;http://computers.search.ebay.com;http://cgi1.ebay.com;http://hub.ebay.com;http://item.express.ebay.com;http://computers.listings.ebay.com;http://video-games.listings.ebay.com;http://promo.express.ebay.com;http://search.half.ebay.com;http://listings.ebay.com;http://cgi6.ebay.com;http://cars.ebay.com;http://msa-e1.ebay.com;http://shiptrack.ebay.com;http://feedback.ebay.com;http://books.products.half.ebay.com;http://include.ebay.com;http://search.stores.ebay.com;http://signin.ebay.com;http://cgi3.ebay.com;http://music.search.ebay.com;http://sporting-goods.listings.ebay.com;http://emailpics.ebay.com;http://payments.ebay.com;http://emailpics3.ebay.com;http://thumbs.ebay.com;http://myworld.ebay.com;http://cgi.ebay.com;http://contact.ebay.com|||HTTPS;HTTP
ebay.com.au|http://sportsgoods.listings.ebay.com.au;http://k2b-print.ebay.com.au;http://k2b-bulk.ebay.com.au;http://k2b-fdbk.ebay.com.au;http://cars.search.ebay.com.au;http://beauty.search.ebay.com.au;http://sportsgoods.search.ebay.com.au;http://rebulk.ebay.com.au;http://viv.ebay.com.au;http://stores.ebay.com.au;http://motors.cars.search.ebay.com.au;http://msa-b1.ebay.com.au|||HTTPS;HTTP
terra.com.br|http://planeta.terra.com.br/arte/wexpo/|/arte/wexpo/||HTTPS;HTTP
mercadolibre.com.mx|http://pmstrk.mercadolibre.com.mx;http://eshops.mercadolibre.com.mx;http://smartad.mercadolibre.com.mx;http://pmspxl.mercadolibre.com.mx;http://listado.mercadolibre.com.mx;http://pmssrv.mercadolibre.com.mx;http://articulo.mercadolibre.com.mx|||HTTPS;HTTP
mercadolibre.com.ar|http://guia.mercadolibre.com.ar;http://smartad.mercadolibre.com.ar;http://pmstrk.mercadolibre.com.ar;http://listado.mercadolibre.com.ar;http://pmspxl.mercadolibre.com.ar;http://pmssrv.mercadolibre.com.ar;http://articulo.mercadolibre.com.ar|||HTTPS;HTTP
mercadolibre.cl|http://smartad.mercadolibre.cl;http://pmssrv.mercadolibre.cl;http://www.mercadolibre.cl;http://articulo.mercadolibre.cl;http://pmspxl.mercadolibre.cl|||HTTPS;HTTP
