domain|urls|paths|subdomains|proto
imprensaoficial.com.br|http://bienal2008.imprensaoficial.com.br/|/||HTTPS;HTTP
epm.br|http://www.biblioteca.epm.br/;http://biblioteca.epm.br/|/||HTTPS;HTTP
ufrj.br|http://editora.ufrj.br/;http://www.editora.ufrj.br/|/||HTTPS;HTTP
globo.com|http://lobato.globo.com/;http://editoraglobo.globo.com/;http://globolivros.globo.com/|/||HTTP
ufsc.br|http://editora.ufsc.br/;http://www.editora.ufsc.br/|/||HTTPS;HTTP
uol.com.br|http://recantodasletras.uol.com.br/|/||HTTPS;HTTP
pop.com.br|http://asahivideo.pop.com.br/;http://www.www.asahivideo.pop.com.br/;http://www.asahivideo.pop.com.br/|/||HTTPS;HTTP
atheneu.com.br|http://atheneu.com.br/;http://www.atheneu.com.br/|/||HTTPS;HTTP
fgv.br|http://www.editora.fgv.br/;http://editora.fgv.br/|/||HTTPS;HTTP
unesp.br|http://editora.unesp.br/;http://www.editora.unesp.br/|/||HTTPS;HTTP
editoragente.com.br|http://www.editoragente.com.br/;http://editoragente.com.br/|/||HTTPS;HTTP
ibep-nacional.com.br|http://ibep-nacional.com.br/;http://www.ibep-nacional.com.br/|/||HTTPS;HTTP
editorasegmento.com.br|http://www.editorasegmento.com.br/;http://editorasegmento.com.br/|/||HTTPS;HTTP
editoraunesp.com.br|http://www.editoraunesp.com.br/;http://editoraunesp.com.br/|/||HTTPS;HTTP
ufrgs.br|http://www.ufrgs.br/editora/;http://ufrgs.br/editora/|/editora/||HTTPS;HTTP
escala.com.br|http://escala.com.br/;http://www.escala.com.br/|/||HTTP
lcm.com.br|http://www.lcm.com.br/;http://lcm.com.br/|/||HTTPS;HTTP
avemaria.com.br|http://www.avemaria.com.br/;http://avemaria.com.br/|/||HTTPS;HTTP
leonardodavinci.com.br|http://leonardodavinci.com.br/;http://www.leonardodavinci.com.br/|/||HTTP
livrariacultura.com.br|http://www.livrariacultura.com.br;http://livrariacultura.com.br|||HTTPS;HTTP
editorafundamento.com.br|http://loja.editorafundamento.com.br/|/||HTTPS;HTTP
moderna.com.br|http://moderna.com.br/;http://www.moderna.com.br/|/||HTTPS;HTTP
madras.com.br|http://www.madras.com.br/;http://madras.com.br/|/||HTTPS;HTTP
mythoseditora.com.br|http://www.mythoseditora.com.br/;http://mythoseditora.com.br/|/||HTTPS;HTTP
autenticaeditora.com.br|http://www.autenticaeditora.com.br/;http://autenticaeditora.com.br/|/||HTTPS;HTTP
cortezeditora.com.br|http://cortezeditora.com.br/;http://www.cortezeditora.com.br/|/||HTTPS;HTTP
editorajaboticaba.com.br|http://editorajaboticaba.com.br/;http://www.editorajaboticaba.com.br/|/||HTTPS;HTTP
saraiva.com.br|http://saraiva.com.br/;http://www.saraiva.com.br/|/||HTTPS;HTTP
rocco.com.br|http://rocco.com.br/;http://www.rocco.com.br/|/||HTTPS;HTTP
devir.com.br|http://devir.com.br/;http://www.devir.com.br/;http://www.www.devir.com.br/|/||HTTPS;HTTP
livrarialoyola.com.br|http://www.livrarialoyola.com.br/;http://livrarialoyola.com.br/|/||HTTPS;HTTP
livrariart.com.br|http://www.livrariart.com.br/;http://livrariart.com.br/|/||HTTPS;HTTP
editoravida.com.br|http://www.editoravida.com.br/;http://editoravida.com.br/|/||HTTPS;HTTP
goodmenbook.org|http://www.goodmenbook.org/;http://goodmenbook.org/|/||HTTPS;HTTP
editoraperspectiva.com.br|http://editoraperspectiva.com.br/;http://www.editoraperspectiva.com.br/|/||HTTPS;HTTP
editorasaraiva.com.br|http://editorasaraiva.com.br/;http://www.editorasaraiva.com.br/|/||HTTP
fromoldbooks.org|http://www.fromoldbooks.org/;http://fromoldbooks.org/|/||HTTPS;HTTP
esextante.com.br|http://esextante.com.br/;http://www.esextante.com.br/|/||HTTPS;HTTP
conservativebookclub.com|http://www.conservativebookclub.com/;http://conservativebookclub.com/|/||HTTPS;HTTP
amazon.com|http://www.amazon.com;http://amazon.com/;http://images.amazon.com|;/||HTTPS;HTTP
amigosdolivro.com.br|http://amigosdolivro.com.br/;http://www.amigosdolivro.com.br/|/||HTTPS;HTTP
phorte.com|http://phorte.com/;http://www.phorte.com/|/||HTTPS;HTTP
livrodevisitas.com.br|http://www.livrodevisitas.com.br/;http://livrodevisitas.com.br/;http://www.www.livrodevisitas.com.br/|/||HTTPS;HTTP
relativa.com.br|http://www.relativa.com.br/;http://relativa.com.br/|/||HTTPS;HTTP
machadodeassis.net|http://www.machadodeassis.net/;http://machadodeassis.net/|/||HTTPS;HTTP
audiobooksonline.com|http://www.audiobooksonline.com/;http://audiobooksonline.com/|/||HTTPS;HTTP
galegroup.com|http://galegroup.com;http://www.galegroup.com|||HTTP
dragondoor.com|http://dragondoor.com;http://www.dragondoor.com|||HTTPS;HTTP
exrx.net|http://exrx.net;http://www.exrx.net|||HTTPS;HTTP
terra.com.br|http://virtualbooks.terra.com.br/|/||HTTPS;HTTP
editorajbc.com.br|http://www.editorajbc.com.br/;http://editorajbc.com.br/|/||HTTPS;HTTP
editoraguanabara.com.br|http://editoraguanabara.com.br/;http://www.editoraguanabara.com.br/|/||HTTP
scholastic.com|http://www.scholastic.com;http://scholastic.com|||HTTP
m-w.com|http://www.m-w.com;http://m-w.com|||HTTPS;HTTP
editoraufmg.com.br|http://www.editoraufmg.com.br/;http://editoraufmg.com.br/|/||HTTPS;HTTP
forense.com.br|http://www.forense.com.br/;http://forense.com.br/|/||HTTP
ecampus.com|http://ecampus.com;http://www.ecampus.com|||HTTPS;HTTP
bienaldolivro.com.br|http://bienaldolivro.com.br/;http://www.bienaldolivro.com.br/|/||HTTPS;HTTP
editoraroca.com.br|http://editoraroca.com.br/loja/;http://www.editoraroca.com.br/loja/|/loja/||HTTP
imagoeditora.com.br|http://imagoeditora.com.br/;http://www.imagoeditora.com.br/|/||HTTPS;HTTP
randomhouse.com|http://www.randomhouse.com;http://randomhouse.com|||HTTPS;HTTP
wikipedia.org|http://www.pt.wikipedia.org/wiki/windows;http://pt.wikipedia.org/wiki/windows|/wiki/windows||HTTPS;HTTP
hucitec.com.br|http://www.hucitec.com.br/;http://hucitec.com.br/|/||HTTPS;HTTP
rideel.com.br|http://rideel.com.br/;http://www.rideel.com.br/|/||HTTPS;HTTP
livnobel.com.br|http://livnobel.com.br/;http://www.livnobel.com.br/|/||HTTP
fnac.com.br|http://fnac.com.br/;http://www.fnac.com.br/|/||HTTPS;HTTP
editoraerica.com.br|http://editoraerica.com.br/;http://www.editoraerica.com.br/|/||HTTP
resumosdelivros.com.br|http://www.resumosdelivros.com.br/;http://resumosdelivros.com.br/|/||HTTPS;HTTP
livrariadoadvogado.com.br|http://www.livrariadoadvogado.com.br/;http://livrariadoadvogado.com.br/|/||HTTPS;HTTP
martinsfontes.com.br|http://www.martinsfontes.com.br/;http://martinsfontes.com.br/|/||HTTPS;HTTP
portaldetonando.com.br|http://www.portaldetonando.com.br/;http://portaldetonando.com.br/|/||HTTPS;HTTP
editoracontexto.com.br|http://editoracontexto.com.br/;http://www.editoracontexto.com.br/|/||HTTPS;HTTP
releituras.com|http://www.releituras.com/;http://releituras.com/|/||HTTP
editoradcl.com.br|http://www.editoradcl.com.br/;http://editoradcl.com.br/|/||HTTPS;HTTP
paubrasil.com.br|http://www.paubrasil.com.br/;http://paubrasil.com.br/|/||HTTPS;HTTP
estantevirtual.com.br|http://estantevirtual.com.br/;http://www.estantevirtual.com.br/|/||HTTPS;HTTP
booksamillion.com|http://booksamillion.com;http://www.booksamillion.com|||HTTPS;HTTP
ebookcult.com.br|http://www.ebookcult.com.br/;http://ebookcult.com.br/|/||HTTPS;HTTP
megalivros.com.br|http://www.megalivros.com.br/;http://megalivros.com.br/|/||HTTP
livrariacalil.com.br|http://livrariacalil.com.br/;http://www.livrariacalil.com.br/|/||HTTPS;HTTP
sololiteratura.com|http://www.sololiteratura.com/;http://sololiteratura.com/|/||HTTPS;HTTP
feesc.org.br|http://www.livrariaconvivencia.feesc.org.br;http://livrariaconvivencia.feesc.org.br|||HTTPS;HTTP
livrarianobel.com.br|http://livrarianobel.com.br/;http://www.livrarianobel.com.br/|/||HTTPS;HTTP
mundocristao.com.br|http://www.mundocristao.com.br/;http://mundocristao.com.br/|/||HTTP
livifusp.com.br|http://livifusp.com.br/;http://www.livifusp.com.br/|/||HTTPS;HTTP
