domain|urls|paths|subdomains|proto
blogspot.com|http://encuentrosenred.blogspot.com/;http://www.tootfarangi.blogspot.com/;http://www.encuentrosenred.blogspot.com/;http://3xnepali.blogspot.com/;http://www.cubacontraelsida.blogspot.com/;http://www.contraelsida.blogspot.com/;http://www.3xnepali.blogspot.com/;http://www.sexguide.blogspot.com/;http://contraelsida.blogspot.com/;http://sexguide.blogspot.com/;http://cubacontraelsida.blogspot.com/;http://tootfarangi.blogspot.com/|/||HTTPS;HTTP
wordpress.com|http://2010presidentiables.wordpress.com/reproductive-health-bill-5043/sws-survey-overwhelming-support-for-rh-bill-5043/|/reproductive-health-bill-5043/sws-survey-overwhelming-support-for-rh-bill-5043/||HTTPS;HTTP
a-radiant-russian-bride.com|http://www.a-radiant-russian-bride.com/;http://a-radiant-russian-bride.com/|/||HTTPS;HTTP
terra.com.br|http://ilove.terra.com.br/;http://match.terra.com.br/;http://www.terra.com.br/almas;http://almas.terra.com.br/|/almas;/||HTTPS;HTTP
amistarium.com|http://amistarium.com/;http://www.amistarium.com/|/||HTTPS;HTTP
agenciapar.com.br|http://agenciapar.com.br/;http://www.agenciapar.com.br/|/||HTTPS;HTTP
8p.com.br|http://8p.com.br/;http://www.8p.com.br/|/||HTTP
parperfeito.com.br|http://1216746656687.b.yahoo.parperfeito.com.br/;http://1219084130578.b.yahoo.parperfeito.com.br/;http://1216746667359.b.yahoo.parperfeito.com.br/;http://www.cg.parperfeito.com.br/;http://kb.parperfeito.com.br/;http://1218126538093.b.yahoo.parperfeito.com.br/;http://1216835078234.b.combine-ig.parperfeito.com.br/;http://voxnamoros.parperfeito.com.br/;http://1216835070671.b.combine-ig.parperfeito.com.br/;http://1219084059812.b.yahoo.parperfeito.com.br/;http://images.parperfeito.com.br/;http://1218557754150.b.voxnamoros.parperfeito.com.br/;http://1218126545734.b.yahoo.parperfeito.com.br/;http://1216746705109.b.yahoo.parperfeito.com.br/;http://namore.parperfeito.com.br/;http://www.gg.parperfeito.com.br/;http://giga.parperfeito.com.br/;http://cg.parperfeito.com.br/;http://1217938414796.b.yahoo.parperfeito.com.br/;http://1218126510953.b.yahoo.parperfeito.com.br/;http://1219084099859.b.yahoo.parperfeito.com.br/;http://1216746626687.b.yahoo.parperfeito.com.br/;http://estrelaguia.parperfeito.com.br/;http://ad1.parperfeito.com.br/;http://fuxico.parperfeito.com.br/;http://1219084135343.b.yahoo.parperfeito.com.br/;http://clicencontros.parperfeito.com.br;http://1216746712218.b.yahoo.parperfeito.com.br/;http://1216835052015.b.combine-ig.parperfeito.com.br/;http://yahoo.parperfeito.com.br/;http://over.parperfeito.com.br/;http://1216835076687.b.yahoo.parperfeito.com.br/;http://1218126532406.b.yahoo.parperfeito.com.br/;http://parperfeito.com.br/;http://gazzag.parperfeito.com.br/;http://1216746693031.b.yahoo.parperfeito.com.br/;http://bruno.parperfeito.com.br/;http://globo.parperfeito.com.br/;http://1219084071734.b.yahoo.parperfeito.com.br/;http://combine-ig.parperfeito.com.br/;http://www.kb.parperfeito.com.br/;http://gg.parperfeito.com.br/;http://1217938623765.b.yahoo.parperfeito.com.br/;http://1218126525656.b.yahoo.parperfeito.com.br/;http://1219084107062.b.yahoo.parperfeito.com.br/;http://ubbi.parperfeito.com.br/;http://1217938689125.b.yahoo.parperfeito.com.br/;http://1219084063281.b.yahoo.parperfeito.com.br/;http://www.parperfeito.com.br|;/||HTTPS;HTTP
e-messenger.net|http://chicago.e-messenger.net/;http://vcontent.e-messenger.net/;http://phoenix.e-messenger.net/;http://e-messenger.net/;http://capetown.e-messenger.net/;http://newyork.e-messenger.net/;http://arkansas.e-messenger.net/;http://vad.e-messenger.net/;http://content.e-messenger.net/;http://atlanta.e-messenger.net/;http://www.e-messenger.net/|/||HTTPS;HTTP
addressoflove.com|http://addressoflove.com/;http://www.addressoflove.com/|/||HTTPS;HTTP
2heartsinternational.com|http://2heartsinternational.com/;http://www.2heartsinternational.com/|/||HTTPS;HTTP
sourceforge.net|http://amsn.sourceforge.net|||HTTP
apehalove.ru|http://apehalove.ru/;http://www.apehalove.ru/|/||HTTPS;HTTP
tribe.net|http://altgays.tribe.net/|/||HTTP
1-love-quotes.com|http://1-love-quotes.com;http://www.1-love-quotes.com|||HTTPS;HTTP
amoremcristo.com|http://www.amoremcristo.com/;http://amoremcristo.com/|/||HTTPS;HTTP
affection.org|http://www.affection.org/;http://affection.org/|/||HTTP
hispavista.com|http://contadorgaleon.hispavista.com/;http://amorpareja.hispavista.com/|/||HTTPS;HTTP
regiaocentro.net|http://amizade.regiaocentro.net/;http://www.amizade.regiaocentro.net/|/||HTTPS;HTTP
amornamedida.com.br|http://www.amornamedida.com.br/;http://amornamedida.com.br/|/||HTTPS;HTTP
amorespossiveis.com.br|http://www.amorespossiveis.com.br/;http://amorespossiveis.com.br/|/||HTTPS;HTTP
