domain|urls|paths|subdomains|proto
8p.com.br|http://8p.com.br/musadosaopaulo/saopaulinasexy/perfil;http://www.8p.com.br/musadosaopaulo/saopaulinasexy/perfil|/musadosaopaulo/saopaulinasexy/perfil||HTTP
abril.com.br|http://www.abril.com.br/comportamento/amor-sexo/;http://abril.com.br/comportamento/amor-sexo/|/comportamento/amor-sexo/||HTTPS;HTTP
aclub.com.br|http://aclub.com.br/;http://www.aclub.com.br/|/||HTTPS;HTTP
afh.bio.br|http://afh.bio.br/;http://www.afh.bio.br/|/||HTTPS;HTTP
arrozdefesta.com|http://arrozdefesta.com/;http://www.arrozdefesta.com/|/||HTTPS;HTTP
artnet.com|http://www.artnet.com;http://artnet.com|||HTTPS;HTTP
avacafoiprobrejo.com|http://www.avacafoiprobrejo.com/;http://avacafoiprobrejo.com/|/||HTTP
baressp.com.br|http://baressp.com.br/|/||HTTPS;HTTP
uol.com.br|http://oblog.virgula.uol.com.br/;http://corpoacorpo.uol.com.br/;http://chongas.mtv.uol.com.br/;http://batepapo.uol.com.br/|/||HTTPS;HTTP
blogger.com|http://www.blogger.com/rearrange?blogid=3351253&widgettype=html&widgetid=html1&action=editwidget;http://blogger.com/rearrange?blogid=3351253&widgettype=html&widgetid=html1&action=editwidget|/rearrange?blogid=3351253&widgettype=html&widgetid=html1&action=editwidget||HTTPS;HTTP
bobagento.com|http://www.bobagento.com/;http://bobagento.com/|/||HTTP
cabralsp.com.br|http://www.cabralsp.com.br/;http://cabralsp.com.br/|/||HTTP
canadianfamilymeds.com|http://canadianfamilymeds.com/;http://www.canadianfamilymeds.com/|/||HTTP
canpharmacynetwork.com|http://www.canpharmacynetwork.com/;http://canpharmacynetwork.com/|/||HTTP
