domain|urls|paths|subdomains|proto
assineabril.com|http://assineabril.com;http://www.assineabril.com;http://abril.assineabril.com;http://imagens.assineabril.com|||HTTPS;HTTP
allure.com|http://allure.com;http://www.allure.com|||HTTPS;HTTP
agranja.com.br|http://agranja.com.br/;http://www.agranja.com.br/|/||HTTP
amanha.com.br|http://amanha.com.br;http://www.amanha.com.br|||HTTPS;HTTP
abril.com.br|http://guiadoestudante.abril.com.br;http://info.abril.com.br;http://webmail.abril.com.br;http://www.abril.com.br;http://nationalgeographic.abril.com.br;http://casa.abril.com.br;http://vejaonline.abril.com.br;http://guia4rodas.abril.com.br;http://contigo.abril.com.br;http://placar.abril.com.br;http://vidasimples.abril.com.br;http://viajeaqui.abril.com.br;http://exame.abril.com.br/;http://imagens.abril.com.br;http://loveteen.abril.com.br;http://jovem.abril.com.br;http://bonsfluidos.abril.com.br;http://revistaescola.abril.com.br/;http://republica.capricho.abril.com.br/;http://grupos.abril.com.br;http://veja.abril.com.br;http://app.exame.abril.com.br;http://midias.abril.com.br;http://vejinha.abril.com.br;http://casaclaudia.abril.com.br/;http://assinaturas.abril.com.br;http://quatrorodas.abril.com.br;http://capricho.abril.com.br;http://origin.guiadoestudante.abril.com.br;http://passaporte.abril.com.br;http://www.info.abril.com.br;http://historia.abril.com.br;http://revistadasemana.abril.com.br;http://claudia.abril.com.br/;http://nova.abril.com.br/;http://vejabrasil.abril.com.br/;http://boaforma.abril.com.br/;http://busca.abril.com.br;http://cursoabril.abril.com.br;http://novaescola.abril.com.br;http://vejanoitebusca.abril.com.br;http://semanais.abril.com.br;http://oasadmin.abril.com.br/;http://super.abril.com.br;http://vejasaopaulo.abril.com.br;http://abril.com.br/;http://recreionline.abril.com.br;http://ecommerce.abril.com.br;http://publicidade.abril.com.br;http://elle.abril.com.br/;http://enquetes.abril.com.br;http://portalexame.abril.com.br;http://vocesa.abril.com.br;http://saude.abril.com.br/;http://assineabrilseguro.abril.com.br/;http://manequim.abril.com.br/;http://ferramentas.abril.com.br;http://fwa.abril.com.br;http://viagem.abril.com.br|;/||HTTPS;HTTP
lojaabril.com|http://abril.lojaabril.com|||HTTPS;HTTP
allaboutjazz.com|http://allaboutjazz.com;http://www.allaboutjazz.com|||HTTPS;HTTP
uol.com.br|http://www2.uol.com.br/mixbrasil;http://www.uol.com.br/bravo;http://www.uol.com.br/carosamigos;http://vejasaopaulo.abril.uol.com.br;http://www2.uol.com.br/exame;http://www.uol.com.br/veja;http://www.uol.com.br/atrevida;http://almanaquevirtual.uol.com.br/;http://www.uol.com.br/revista;http://www.uol.com.br/bibliaworld/defesadafe;http://origin.guiadoestudante.abril.uol.com.br;http://passaporte.abril.uol.com.br;http://www.uol.com.br/sgp;http://www2.uol.com.br/simbolo/raca;http://www.uol.com.br/cienciahoje;http://guiadoestudante.abril.uol.com.br;http://semanais.abril.uol.com.br;http://manequim.abril.uol.com.br;http://www.uol.com.br/disneyexplora;http://carsale.uol.com.br;http://fotos.caras.uol.com.br/;http://corpoacorpo.uol.com.br/;http://viajeaqui.abril.uol.com.br;http://www2.uol.com.br/casaclaudia;http://www2.uol.com.br/caminhosdaterra;http://www.uol.com.br/abriljovem;http://www.uol.com.br/utilissima;http://www.uol.com.br/tititi;http://www.uol.com.br/facilnordeste;http://www.uol.com.br/bonsfluidos;http://www.uol.com.br/negociosexame;http://www.uol.com.br/vervideo;http://www2.uol.com.br/maturidade;http://www2.uol.com.br/trip;http://historia.abril.uol.com.br;http://www2.uol.com.br/playboy;http://www.uol.com.br/camerasurf;http://www.uol.com.br/claudiacozinha/portal;http://www2.uol.com.br/vocesa;http://www.uol.com.br/ziriguidum;http://cf9.uol.com.br/uma/home.cfm;http://saude.abril.uol.com.br/;http://www2.uol.com.br/elle;http://www.uol.com.br/guiadoestudante;http://www2.uol.com.br/ram;http://www.uol.com.br/borage/rbi33/index.htm;http://www2.uol.com.br/super;http://www.uol.com.br/maosdeouro;http://www.uol.com.br/menuinterativo;http://www.uol.com.br/percurso;http://www2.uol.com.br/proximaviagem;http://www.uol.com.br/uptodate;http://www.uol.com.br/charutoetcia;http://www.uol.com.br/shoppingmusic/outubro2001/default.htm;http://vejaonline.uol.com.br;http://www.uol.com.br/digitaldesigner;http://claudia.abril.uol.com.br;http://www.uol.com.br/penultimas;http://www.uol.com.br/todateen;http://www2.uol.com.br/atrevida;http://contigo.abril.uol.com.br/;http://caras.uol.com.br/;http://veja.abril.uol.com.br;http://elle.abril.uol.com.br/;http://cf6.uol.com.br/setonline/takes/takes.asp;http://www.uol.com.br/circuito;http://www.uol.com.br/ambienteglobal;http://cf5.uol.com.br/webventure/aventurabrasil/;http://pp.uol.com.br/revistadaweb/home.php;http://www.uol.com.br/caras;http://www2.uol.com.br/info;http://www.uol.com.br/fsp;http://www.uol.com.br/viagemturismo;http://www.uol.com.br/front;http://www.uol.com.br/amcc;http://sesc.uol.com.br/sesc/revistas;http://www.uol.com.br/nationalgeographic;http://www2.uol.com.br/familiaaventura;http://www.uol.com.br/setonline;http://www2.uol.com.br/vinde;http://cadernodigital.uol.com.br/guiadobebe;http://www.uol.com.br/time;http://www.uol.com.br/designgrafico;http://www.uol.com.br/cultvox;http://www.uol.com.br/tudo/aberto/bridge/home.htm;http://www.uol.com.br/idec/consumidorsa;http://www.uol.com.br/showbizz;http://www.uol.com.br/amazonview;http://www.uol.com.br/photos;http://www2.uol.com.br/simbolo/corpoacorpo;http://portalexame.abril.uol.com.br/;http://www.uol.com.br/elle;http://sites.uol.com.br/nicolaievsky/;http://cf6.uol.com.br/meudinheiro;http://vocesa.abril.uol.com.br;http://www.uol.com.br/jazz/teclado;http://www.uol.com.br/au;http://www2.uol.com.br/placar;http://www.uol.com.br/bestcars;http://www2.uol.com.br/simbolo/atrevida;http://www.uol.com.br/informejuridico;http://www.uol.com.br/aeromagazine/flash.htm;http://www.uol.com.br/sesc/spu/spupb.htm;http://www.uol.com.br/agulhadeouro;http://estilo.uol.com.br/beleza/;http://cf6.uol.com.br/consultor;http://www2.uol.com.br/arquitetura;http://cf9.uol.com.br/atrevida/home.cfm;http://www2.uol.com.br/veja;http://noticias.uol.com.br/ultnot/revistas/;http://www2.uol.com.br/vip;http://www2.uol.com.br/capricho;http://www2.uol.com.br/sexy;http://www.uol.com.br/imprensa;http://www.uol.com.br/ponto-com;http://casa.abril.uol.com.br/;http://www.uol.com.br/airway;http://www.uol.com.br/tudonoar;http://vidasimples.abril.uol.com.br;http://www.uol.com.br/jazz/guitarra;http://www.uol.com.br/sigla/vm;http://www.uol.com.br/focinhos;http://guia4rodas.abril.uol.com.br;http://www2.uol.com.br/nova;http://www2.uol.com.br/quatrorodas;http://vejaonline.abril.uol.com.br;http://cienciahoje.uol.com.br/;http://sites.uol.com.br/caliban;http://www.uol.com.br/fluir;http://atrevida.uol.com.br/|;/carosamigos;/setonline;/simbolo/raca;/uptodate;/front;/tudo/aberto/bridge/home.htm;/webventure/aventurabrasil/;/fsp;/informejuridico;/sigla/vm;/fluir;/time;/guiadoestudante;/info;/amazonview;/setonline/takes/takes.asp;/maosdeouro;/shoppingmusic/outubro2001/default.htm;/ambienteglobal;/nova;/airway;/cienciahoje;/jazz/guitarra;/tudonoar;/nicolaievsky/;/circuito;/beleza/;/agulhadeouro;/sesc/revistas;/elle;/sgp;/ultnot/revistas/;/ziriguidum;/quatrorodas;/ram;/proximaviagem;/facilnordeste;/au;/jazz/teclado;/aeromagazine/flash.htm;/todateen;/revista;/casaclaudia;/caminhosdaterra;/percurso;/super;/showbizz;/vinde;/arquitetura;/familiaaventura;/guiadobebe;/bonsfluidos;/placar;/revistadaweb/home.php;/charutoetcia;/simbolo/corpoacorpo;/;/sexy;/capricho;/meudinheiro;/maturidade;/penultimas;/amcc;/disneyexplora;/utilissima;/camerasurf;/imprensa;/negociosexame;/viagemturismo;/atrevida/home.cfm;/photos;/veja;/uma/home.cfm;/caliban;/menuinterativo;/bibliaworld/defesadafe;/mixbrasil;/sesc/spu/spupb.htm;/focinhos;/exame;/idec/consumidorsa;/simbolo/atrevida;/playboy;/nationalgeographic;/ponto-com;/designgrafico;/tititi;/vocesa;/borage/rbi33/index.htm;/bestcars;/caras;/vervideo;/trip;/digitaldesigner;/abriljovem;/cultvox;/consultor;/claudiacozinha/portal;/atrevida;/bravo;/vip||HTTPS;HTTP
architecturaldigest.com|http://www.architecturaldigest.com;http://architecturaldigest.com|||HTTPS;HTTP
cjb.net|http://revistatrax.cjb.net/;http://skaterzine.cjb.net/;http://www.revistacomigo.cjb.net/;http://www.polemica.cjb.net/;http://cartadenoticias.cjb.net/;http://www.skaterzine.cjb.net/;http://revistahobbies.cjb.net/;http://www.mulher2000.cjb.net/;http://www.tudoemcima.cjb.net/;http://revistadonna.cjb.net;http://www.osnavegantes.cjb.net/;http://www.pcwebgame.cjb.net/;http://osnavegantes.cjb.net/;http://www.antenaligada.cjb.net/;http://www.zonalivre.cjb.net/;http://www.revistatrax.cjb.net/;http://tudoemcima.cjb.net/;http://mulher2000.cjb.net/;http://polemica.cjb.net/;http://starnews2001.cjb.net/;http://www.revistahobbies.cjb.net/;http://www.cardosonline.cjb.net/;http://belateen.cjb.net/;http://revistacomigo.cjb.net/;http://pcwebgame.cjb.net/;http://www.starnews2001.cjb.net/;http://cardosonline.cjb.net/;http://multimediastudio.cjb.net/;http://antenaligada.cjb.net/;http://zonalivre.cjb.net/;http://www.cartadenoticias.cjb.net/;http://www.belateen.cjb.net/;http://www.multimediastudio.cjb.net/;http://www.tijolao.cjb.net|;/||HTTPS;HTTP
