domain|urls|paths|subdomains|proto
blogspot.com|http://transamoebae.blogspot.com/;http://girlwalks.blogspot.com/;http://antibioticinformation.blogspot.com/;http://fattygirll1.blogspot.com/;http://lifeadvice.blogspot.com;http://theheavy.blogspot.com/;http://poundsbegone.blogspot.com/;http://whataboutyourhips.blogspot.com/;http://daddychip.blogspot.com/2005/10/no-more-babies.html;http://ahealthypath.blogspot.com/;http://awbfanclub.blogspot.com;http://healthydieting.blogspot.com;http://alcoholreports.blogspot.com/;http://tessence.blogspot.com/;http://budtkasfoodjournal.blogspot.com;http://skinnydaily.blogspot.com/;http://spacedoll.blogspot.com/;http://flybabyjj.blogspot.com;http://goal06.blogspot.com/;http://www.nsdieter.blogspot.com;http://thetransmutation.blogspot.com/;http://www.realscienceofsuccess.blogspot.com/;http://www.diabetesadvocacy.blogspot.com/;http://allbre.blogspot.com/;http://standrewsgift.blogspot.com/;http://proventricular-dilatation-disease.blogspot.com/;http://adventuresinautism.blogspot.com/;http://versilleus.blogspot.com;http://notsosoreloser.blogspot.com;http://sstanwar.blogspot.com/;http://blackdogdays.blogspot.com/;http://aromatherapyencyclopedia.blogspot.com/;http://chondrosarcoma.blogspot.com/;http://thyroid.blogspot.com/;http://goldbeads.blogspot.com;http://angryasthmamama.blogspot.com;http://www.desertmermaid.blogspot.com/;http://ironman63.blogspot.com;http://erinswwblog.blogspot.com;http://glutenfreegirl.blogspot.com/;http://todddiet.blogspot.com/;http://micropreemietwins.blogspot.com/;http://wildabandon.blogspot.com;http://schizopanic.blogspot.com/;http://recoveredalcoholic.blogspot.com/;http://ovariancancer.blogspot.com/;http://rivernymph.blogspot.com;http://101reasonsihatebeingfat.blogspot.com/;http://losergrl.blogspot.com/;http://bizthecat.blogspot.com/;http://thermalreconditioning.blogspot.com;http://deafaussies.blogspot.com/;http://dietchick.blogspot.com;http://residencysucks.blogspot.com;http://www.selfinjury.blogspot.com/;http://tosnipornot.blogspot.com/;http://coldandflu.blogspot.com/;http://www.sisterfeelgood.blogspot.com;http://eqdailygrind.blogspot.com/;http://www.billgetsfit.blogspot.com;http://lioceansnews.blogspot.com/;http://lifewithmcs.blogspot.com/;http://myfatbegone.blogspot.com;http://drpeds.blogspot.com;http://inpursuitoffitness.blogspot.com/;http://www.60-50.blogspot.com;http://stevenbell.blogspot.com;http://passata.blogspot.com;http://mypinkbutton.blogspot.com;http://2hands.blogspot.com/;http://dadadam.blogspot.com/2005/04/my-vasectomy.html;http://the-family-schmidt.blogspot.com/;http://www.medpundit.blogspot.com;http://xtbb.blogspot.com;http://losingandgaining.blogspot.com/;http://cluster-headache.blogspot.com/;http://dietingsucks.blogspot.com;http://weight-loss-guide.blogspot.com/;http://dietingdisaster.blogspot.com/;http://pensclc.blogspot.com/;http://experiment-fatso.blogspot.com/;http://mediblogopathy.blogspot.com;http://purplemedicalblog.blogspot.com;http://podiatric.blogspot.com/;http://life-n-stuff.blogspot.com/;http://www.ouremily.blogspot.com;http://sweatypalmdiaries.blogspot.com/;http://bipolar2.blogspot.com/;http://fucknut.blogspot.com;http://marissarachelbeck.blogspot.com/;http://www.dancingsoles.blogspot.com;http://www.windlost.blogspot.com/;http://iselfharm.blogspot.com/;http://leavingthebubble.blogspot.com;http://lowcarbchick.blogspot.com/;http://princessaitaliana.blogspot.com/;http://txmichele.blogspot.com/;http://andreainww.blogspot.com;http://www.healthyqi.blogspot.com;http://anxiousmegibberingwreck.blogspot.com/;http://weightlosswatcher.blogspot.com/;http://mjwloss.blogspot.com;http://reversetherapy.blogspot.com/;http://sleepdoctor.blogspot.com/;http://lcablog.blogspot.com/|;/2005/10/no-more-babies.html;/;/2005/04/my-vasectomy.html||HTTPS;HTTP
about.com|http://pregnancy.about.com/;http://forums.about.com/ab-wmshealth2;http://parentingteens.about.com/library/weekly/aa032801a.htm?once=true&amp;;http://nutrition.about.com/;http://mentalhealth.about.com/;http://womenshistory.about.com/library/prm/blcaptainsally1.htm;http://womenshistory.about.com/library/prm/blnursepember.htm;http://chronicfatigue.about.com/health/chronicfatigue/library/weekly/aa012799.htm;http://phoenix.about.com/cs/health/a/mexicodrugs.htm;http://forums.about.com/ab-heartdisease/;http://panicdisorder.about.com/;http://pediatrics.about.com/library/weekly/aa081702a.htm;http://ibscrohns.about.com;http://infertility.about.com/;http://pediatrics.about.com/cs/childrenshospital/index.htm;http://physicaltherapy.about.com;http://pediatrics.about.com/od/weeklyquestion/a/05_bird_flu.htm;http://firefighting.about.com/;http://specialchildren.about.com/parenting/specialchildren/cs/sensoryissues/;http://add.about.com/index.htm;http://inventors.about.com/library/inventors/blpasteur.htm;http://pediatrics.about.com/cs/weeklyquestion/a/kids_stuttering.htm;http://sleepdisorders.about.com;http://stress.about.com;http://chemistry.about.com/science/chemistry/library/weekly/aa062298a.htm;http://video.about.com/altmedicine/see-a-reflexology-treatment.htm;http://votech.about.com/msubmenumed.htm;http://alcoholism.about.com/library/blmitch8.htm;http://dying.about.com/;http://headaches.about.com/;http://weightloss.about.com/health/weightloss/;http://prostatecancer.about.com;http://anesthesiology.about.com;http://pediatrics.about.com/od/scabies/a/04_scabies.htm;http://thyroid.about.com/;http://beauty.about.com/index.htm;http://pediatrics.about.com/cs/safetyfirstaid/a/dnt_lt_bugs_bte.htm;http://lymphoma.about.com;http://womensissues.about.com/cs/eatingdisorders/;http://pediatrics.about.com/cs/usefultools/l/bltylenoldsgcal.htm;http://coloncancer.about.com;http://womenshistory.about.com/cs/nightingale/index.htm;http://alcoholism.about.com/library/blchips.htm?terms=sobriety+medallions;http://pediatrics.about.com/library/weekly/aa081501a.htm;http://womenshistory.about.com/library/prm/bledith_cavell1.htm;http://chicagonorth.about.com/library/weekly/aa030299.htm;http://womenshealth.about.com;http://chemistry.about.com/science/chemistry/library/weekly/aa062998a.htm?terms=prion+protein;http://allergies.about.com/;http://pediatrics.about.com/mbody.htm?once=true&amp;;http://homecooking.about.com/library/weekly/aa081197.htm;http://pediatrics.about.com/cs/inthenews/a/children_sars.htm;http://genetics.about.com/science/genetics/library/blalp.htm;http://wine.about.com/library/bl_health.htm;http://chemistry.about.com/library/weekly/aa050401a.htm;http://3dgraphics.about.com/library/weekly/aa013103a.htm;http://pediatrics.about.com/cs/commoninfections/a/west_nile_virus.htm;http://altmedicine.about.com/od/therapiesfromrtoz/a/reflexology.htm;http://menshealth.about.com/cs/penishealth/a/penis_enlarge.htm;http://depression.about.com/;http://pediatrics.about.com/cs/commoninfections/a/ringworm.htm;http://pediatrics.about.com/library/bllearning_disabilities.htm;http://walking.about.com/library/weekly/aa092500a.htm;http://add.about.com/cs/foradults/a/general.htm;http://diabetes.about.com/library/mendosagi/nmendosagi.htm;http://vetmedicine.about.com;http://womenshistory.about.com/library/prm/blladywiththelamp1.htm;http://alcoholism.about.com/library/blaa.htm;http://pharmacology.about.com/;http://pediatrics.about.com/library/weekly/aa122202b.htm;http://pediatrics.about.com/od/childhoodinfections/a/staph_infection.htm;http://www.backandneck.about.com/;http://womenshistory.about.com/library/prm/bledithcavell1.htm;http://sportsmedicine.about.com;http://chineseculture.about.com/culture/chineseculture/library/weekly/aa040898.htm;http://alcoholism.about.com/health/alcoholism/;http://ms.about.com;http://eatingdisorders.about.com/cs/eat/;http://familymedicine.about.com/index.htm;http://pediatrics.about.com/library/quiz/blquiz_osa_scng.htm;http://womenshistory.about.com/cs/nursesandnursing/;http://search.about.com/fullsearch.htm?terms=urology&iam=specialabc;http://biology.about.com/library/organs/blcircsystem2.htm;http://aids.about.com;http://womenshistory.about.com/od/midwives/;http://alcoholism.about.com/msubonline.htm;http://genetics.about.com/science/genetics/library/blsoto.htm;http://dentistry.about.com;http://healthyherbs.about.com/;http://childparenting.about.com/home/childparenting/library/weekly/aa043099.htm;http://forums.about.com/n/main.asp?webtag=ab-lymedisease&amp;nav=start;http://psychology.about.com/library/bl/blglos_phobias.htm;http://deafness.about.com/;http://alcoholism.about.com/library/blchatslate.htm?once=true&amp;;http://newage.about.com/religion/newage/msub155app.htm;http://pediatrics.about.com/library/ask/blask_100702.htm;http://bipolar.about.com/library/meds/bl-meds-geodon.htm;http://parentingteens.about.com/library/sp/drugs/bl-ecstasy2.htm;http://pilates.about.com/;http://history1900s.about.com/library/weekly/aa062900a.htm;http://arthritis.about.com;http://cancer.about.com;http://herbsforhealth.about.com/library/weekly/aa040397.htm;http://eatingdisorders.about.com/index.htm;http://exercise.about.com/;http://pediatrics.about.com/library/weekly/aa103101a.htm;http://ophthalmology.about.com/health/ophthalmology/library/weekly/aa021698.htm;http://rarediseases.about.com/library/weekly/aa060601a.htm;http://genetics.about.com/science/genetics/library/blmob.htm;http://spas.about.com/;http://alcoholism.about.com/msubmeetala.htm;http://pediatrics.about.com/library/blkneepain.htm;http://parentingteens.about.com/parenting/parentingteens/library/weekly/aa032801a.htm;http://urology.about.com;http://backandneck.about.com/;http://asthma.about.com/;http://pediatrics.about.com/cs/adhd/a/adhd_guidelines.htm;http://dermatology.about.com/cs/fungalinfections/a/jockitch.htm;http://healing.about.com/;http://gradschool.about.com/library/weekly/aa121100a.htm;http://cats.about.com/library/weekly/aa031501a.htm;http://add.about.com/cs/forfamilymembers/a/idonothaveadd.htm;http://quitsmoking.about.com/;http://womenshistory.about.com/library/etext/poem1/blp_barton_fields.htm;http://breastcancer.about.com/;http://childparenting.about.com/cs/disorders/a/odd.htm;http://parentingteens.about.com/home/parenting/parentingteens/library/weekly/aa101299.htm;http://airtravel.about.com/cs/safetysecurity/a/sars.htm;http://camping.about.com/?once=true&amp;;http://seniorhealth.about.com/;http://heartdisease.about.com/;http://orthopedics.about.com/;http://today.about.com/newsissues/today/library/spotnews/bltodayoxycontin.htm;http://www.heartdisease.about.com/library/news/blnws01031.htm;http://alcoholism.about.com/library/blmitch.htm;http://nursing.about.com/|;/library/blchatslate.htm?once=true&amp;;/parenting/parentingteens/library/weekly/aa032801a.htm;/library/blkneepain.htm;/home/childparenting/library/weekly/aa043099.htm;/cs/eat/;/library/weekly/aa081501a.htm;/cs/health/a/mexicodrugs.htm;/cs/forfamilymembers/a/idonothaveadd.htm;/library/organs/blcircsystem2.htm;/library/weekly/aa060601a.htm;/fullsearch.htm?terms=urology&iam=specialabc;/library/weekly/aa040397.htm;/od/midwives/;/od/childhoodinfections/a/staph_infection.htm;/cs/inthenews/a/children_sars.htm;/library/weekly/aa013103a.htm;/library/weekly/aa030299.htm;/cs/usefultools/l/bltylenoldsgcal.htm;/library/prm/blladywiththelamp1.htm;/library/weekly/aa092500a.htm;/home/parenting/parentingteens/library/weekly/aa101299.htm;/science/chemistry/library/weekly/aa062998a.htm?terms=prion+protein;/cs/weeklyquestion/a/kids_stuttering.htm;/religion/newage/msub155app.htm;/library/news/blnws01031.htm;/od/therapiesfromrtoz/a/reflexology.htm;/cs/eatingdisorders/;/library/weekly/aa122202b.htm;/parenting/specialchildren/cs/sensoryissues/;/cs/foradults/a/general.htm;/ab-wmshealth2;/cs/commoninfections/a/ringworm.htm;/library/weekly/aa050401a.htm;/library/inventors/blpasteur.htm;/cs/fungalinfections/a/jockitch.htm;/cs/safetysecurity/a/sars.htm;/library/weekly/aa031501a.htm;/library/weekly/aa032801a.htm?once=true&amp;;/science/genetics/library/blsoto.htm;/library/quiz/blquiz_osa_scng.htm;/cs/safetyfirstaid/a/dnt_lt_bugs_bte.htm;/n/main.asp?webtag=ab-lymedisease&amp;nav=start;/cs/nursesandnursing/;/health/ophthalmology/library/weekly/aa021698.htm;/library/prm/blnursepember.htm;/library/mendosagi/nmendosagi.htm;/?once=true&amp;;/science/chemistry/library/weekly/aa062298a.htm;/library/ask/blask_100702.htm;/library/weekly/aa121100a.htm;/cs/childrenshospital/index.htm;/culture/chineseculture/library/weekly/aa040898.htm;/msubmeetala.htm;/library/weekly/aa103101a.htm;/library/bl/blglos_phobias.htm;/ab-heartdisease/;/;/library/bl_health.htm;/od/weeklyquestion/a/05_bird_flu.htm;/od/scabies/a/04_scabies.htm;/library/meds/bl-meds-geodon.htm;/library/weekly/aa062900a.htm;/cs/disorders/a/odd.htm;/science/genetics/library/blalp.htm;/health/alcoholism/;/library/prm/bledith_cavell1.htm;/library/blaa.htm;/mbody.htm?once=true&amp;;/index.htm;/cs/penishealth/a/penis_enlarge.htm;/library/prm/blcaptainsally1.htm;/library/sp/drugs/bl-ecstasy2.htm;/library/blchips.htm?terms=sobriety+medallions;/health/chronicfatigue/library/weekly/aa012799.htm;/cs/nightingale/index.htm;/library/bllearning_disabilities.htm;/science/genetics/library/blmob.htm;/newsissues/today/library/spotnews/bltodayoxycontin.htm;/cs/commoninfections/a/west_nile_virus.htm;/msubmenumed.htm;/library/prm/bledithcavell1.htm;/library/weekly/aa081197.htm;/altmedicine/see-a-reflexology-treatment.htm;/health/weightloss/;/msubonline.htm;/cs/adhd/a/adhd_guidelines.htm;/library/etext/poem1/blp_barton_fields.htm;/library/weekly/aa081702a.htm;/library/blmitch.htm;/library/blmitch8.htm||HTTPS;HTTP
live.com|http://adnauseam.spaces.live.com/blog/cns!1pwh-v9zrui1ipzilqugd2mq!121.entry;http://selfempowerment.spaces.live.com/;http://coloncancersurvivor.spaces.live.com/|/;/blog/cns!1pwh-v9zrui1ipzilqugd2mq!121.entry||HTTPS;HTTP
meetup.com|http://adultadd.meetup.com/8/|/8/||HTTPS;HTTP
ucdavis.edu|http://www.eating.ucdavis.edu/;http://pathology.ucdavis.edu/;http://wellness.ucdavis.edu/safety_info/poison_prevention/poison_book/food_poisoning.html;http://www-epm.ucdavis.edu/;http://medocs.ucdavis.edu/imd/420a/case/anemias/cases/acase2/anemiacase2.html;http://emergency.ucdmc.ucdavis.edu/;http://matrix.ucdavis.edu/;http://ucdnema.ucdavis.edu/imagemap/nemmap/ent156html/vertcom;http://epm-leistikow.ucdavis.edu/smokingfires.htm;http://phs.ucdavis.edu/;http://www.acvr.ucdavis.edu/;http://ophthalmology.ucdmc.ucdavis.edu/;http://neuroscience.ucdavis.edu/psychiatry/index.html;http://dioxins-r-us.ucdavis.edu/dioxin.html;http://www.ipm.ucdavis.edu/pmg/pestnotes/pn7449.html;http://www.vmth.ucdavis.edu/cardio/cases;http://informatics.ucdmc.ucdavis.edu/;http://www.ucdmc.ucdavis.edu/;http://delusion.ucdavis.edu/;http://ag-ergo.ucdavis.edu/;http://neonatology.ucdavis.edu/;http://www.vetmed.ucdavis.edu/;http://mindinstitute.ucdmc.ucdavis.edu/;http://nutrition.ucdavis.edu/;http://www.vgl.ucdavis.edu/~lvmillon/;http://www.envtox.ucdavis.edu/;http://eating.ucdavis.edu/;http://www.vmth.ucdavis.edu/vmth/services/oncology/oncology.html;http://cim.ucdavis.edu/eyes/eyesim.htm;http://cgap.ucdavis.edu/addison's.htm;http://cim.ucdavis.edu/eyes/version1/eyesim.htm;http://www.news.ucdavis.edu/search/news_detail.lasso?id=6178;http://radiology.ucdmc.ucdavis.edu/;http://www.epi.ucdavis.edu/;http://psychology.ucdavis.edu/rainbow/html/vid_aids.html|/imagemap/nemmap/ent156html/vertcom;/dioxin.html;/~lvmillon/;/rainbow/html/vid_aids.html;/imd/420a/case/anemias/cases/acase2/anemiacase2.html;/smokingfires.htm;/addison's.htm;/cardio/cases;/pmg/pestnotes/pn7449.html;/search/news_detail.lasso?id=6178;/safety_info/poison_prevention/poison_book/food_poisoning.html;/psychiatry/index.html;/eyes/eyesim.htm;/eyes/version1/eyesim.htm;/vmth/services/oncology/oncology.html;/||HTTPS;HTTP
mit.edu|http://aacn.mit.edu/;http://www.mit.edu/~glb;http://web.mit.edu/comp-med/;http://www.ai.mit.edu/extra/scoliosis/scoliosis.html;http://www.mit.edu:8001/people/samajane/braintmr.html;http://www.mit.edu/~ajmiller/epl/index.html;http://medg.lcs.mit.edu/;http://web7.mit.edu/cuedspeech/;http://www.mit.edu/~rei/birds-pdd.html;http://www-genome.wi.mit.edu/media/press/pr_02_bdnf.html;http://rleweb.mit.edu/retina/;http://web.mit.edu/toxms/www/index.htm;http://www-tech.mit.edu/v118/n53/sen.5.2.53c.html;http://classics.mit.edu/hippocrates/fractur.mb.txt;http://web.mit.edu/kevles/www/nomilk.html|/retina/;/comp-med/;/hippocrates/fractur.mb.txt;/toxms/www/index.htm;/extra/scoliosis/scoliosis.html;/~ajmiller/epl/index.html;/~glb;/kevles/www/nomilk.html;/media/press/pr_02_bdnf.html;/cuedspeech/;/v118/n53/sen.5.2.53c.html;/~rei/birds-pdd.html;:8001/people/samajane/braintmr.html;/||HTTPS;HTTP
1001beautytips.com|http://1001beautytips.com|||HTTPS;HTTP
stephens.edu|http://ac.stephens.edu/library/schweitzer/main.html|/library/schweitzer/main.html||HTTPS;HTTP
adbusters.org|http://adbusters.org/metas/psycho/prozacspotlight/|/metas/psycho/prozacspotlight/||HTTPS;HTTP
209.8.150.70|http://209.8.150.70/htmldocs/measi59.htm|/htmldocs/measi59.htm||HTTP
