domain|urls|paths|subdomains|proto
bing.com|http://www.bing.com/;http://bing.com/|/||HTTPS;HTTP
uol.com.br|http://bol.busca.uol.com.br/;http://dic.busca.uol.com.br/;http://lojas-shopping.vilabol.uol.com.br/;http://radar.uol.com.br;http://brasil.busca.uol.com.br/;http://mundo.busca.uol.com.br/;http://www.radar.uol.com.br;http://busca.uol.com.br/|;/||HTTPS;HTTP
globo.com|http://busca.globo.com/|/||HTTP
gmodules.com|http://iql5a1ig-p.gmodules.com/;http://6.gmodules.com/;http://8.gmodules.com/;http://www.gmodules.com/;http://www.4.gmodules.com/;http://knqs3j05-p.gmodules.com/;http://tggimug5-p.gmodules.com/;http://7.gmodules.com/;http://skins.gmodules.com/;http://www.7.gmodules.com/;http://www.8.gmodules.com/;http://2.gmodules.com/;http://5.gmodules.com/;http://maps.gmodules.com/;http://www.2.gmodules.com/;http://gmodules.com/;http://1ecnr78a-p.gmodules.com/;http://4.gmodules.com/;http://www.6.gmodules.com/;http://www.9.gmodules.com/;http://img0.gmodules.com/;http://ilcoja5v-p.gmodules.com/;http://www.5.gmodules.com/;http://cj399o2i-a.gmodules.com/;http://www.1.gmodules.com/;http://9.gmodules.com/;http://1.gmodules.com/|/||HTTPS;HTTP
googleadservices.com|http://105-bmp.googleadservices.com/;http://googleadservices.com/;http://partner.googleadservices.com/;http://9.afs.googleadservices.com/;http://imageads.googleadservices.com;http://www.googleadservices.com/|;/||HTTPS;HTTP
google.com.mx|http://alt1.toolbarqueries.google.com.mx|||HTTPS;HTTP
google.com|http://www.safebrowsing-cache.google.com/;http://mt0.google.com/;http://dualstack.ipv6-exp.l.google.com/;http://mt3.google.com/;http://mlt0.google.com/;http://bks3.books.google.com/;http://lh3.google.com;http://toolbar.google.com;http://sb.google.com/;http://lh5.google.com;http://www.sb.google.com/;http://bks5.books.google.com/;http://mw1.google.com/;http://kh.google.com/;http://lh4.google.com;http://toolbarqueries.clients.google.com/;https://www.google.com/;http://pages.google.com/;http://bks4.books.google.com/;http://mlt1.google.com/;http://toolbarqueries.google.com;http://mlt3.google.com/;http://fusion.google.com;http://bks8.books.google.com/;http://mt1.google.com/;http://khm3.google.com/;http://ww.google.com/;http://services.google.com/;http://bks7.books.google.com/;http://khm2.google.com/;http://translate.google.com;http://www.mt.google.com/;http://khm0.google.com/;http://khm1.google.com/;http://bks6.books.google.com/;http://docs.google.com/;http://www.kh.google.com/;http://suggestqueries.google.com;http://ditu.google.com/;http://tbn0.google.com;http://tools.google.com;http://bks9.books.google.com/;http://mlt2.google.com/;http://maps.google.com/;http://bks2.books.google.com/;http://images.google.com;http://bks1.books.google.com/;http://mt2.google.com/;http://video-stats.video.google.com/;http://bks0.books.google.com/;http://google.com;http://partnerpage.google.com/;http://mt.google.com/;http://safebrowsing-cache.google.com/;http://www.ww.google.com/;http://groups.google.com;http://lh6.google.com;http://mw2.google.com/;http://linkhelp.clients.google.com/;http://safebrowsing.clients.google.com/|;/||HTTPS;HTTP
bastaclicar.com.br|http://bastaclicar.com.br/;http://www.bastaclicar.com.br/|/||HTTP
google.com.br|http://video.google.com.br/;http://khm3.google.com.br/;http://scholar.google.com.br/;http://www.ww.google.com.br/;http://khm1.google.com.br/;http://alt1.toolbarqueries.google.com.br/;http://books.google.com.br/;http://khm2.google.com.br/;http://ww.google.com.br/;http://khm0.google.com.br/;http://maps.google.com.br/;http://www.picasaweb.google.com.br/;http://blogsearch.google.com.br/;http://picasaweb.google.com.br/|/||HTTPS;HTTP
googlesyndication.com|http://buttons.googlesyndication.com/|/||HTTPS;HTTP
