domain|urls|paths|subdomains|proto
wikia.com|http://24.wikia.com/wiki/main_page;http://muppet.wikia.com/wiki/sesame_street|/wiki/main_page;/wiki/sesame_street||HTTPS;HTTP
globo.com|http://mgtv.globo.com/;http://tvtribuna.globo.com/;http://globoruraltv.globo.com/;http://sptv.globo.com/;http://telecine.globo.com/;http://tvg.globo.com/;http://globoreporter.globo.com/;http://sportv.globo.com/;http://mundogloob.globo.com/;http://gshow.globo.com/realities/superstar/2015/;http://gshow.globo.com/novelas/alem-do-horizonte/index.html/;http://programadojo.globo.com/;http://malhacao.globo.com/;http://globotv.globo.com/;http://afavorita.globo.com/;http://globosat.globo.com/;http://canalviva.globo.com/;http://eptv.globo.com/;http://www.gq.globo.com/;http://tv.globo.com;http://redeglobo40.globo.com/;http://cbn.globoradio.globo.com/;http://www.jg.globo.com/;http://sitio.globo.com/;http://atendimento.globo.com/;http://bhfm.globoradio.globo.com/;http://fantastico.globo.com/;http://tvxuxa.globo.com;http://gshow.globo.com/programas/divertics/;http://duascaras.globo.com/;http://beat98.globoradio.globo.com/;http://gq.globo.com/;http://gshow.globo.com/programas/serra-pelada/index.html/;http://cirandadepedra.globo.com/;http://gshow.globo.com/programas/a-teia/;http://rjtv.globo.com/;http://agrandefamilia.globo.com/;http://oglobo.globo.com/cultura/bigblog/;http://gshow.globo.com/programas/atormentados/;http://jg.globo.com/;http://tvglobo.caldeiraodohuck.globo.com/;http://bomdiabrasil.globo.com/;http://domingaodofaustao.globo.com/;http://canaloff.globo.com/;http://tvglobo.cassetaeplaneta.globo.com/;http://bbb.globo.com/;http://estrelas.globo.com/videos/;http://nettv.globo.com/;http://www.gmc.globo.com;http://redeglobo.globo.com/;http://radioglobo.globoradio.globo.com/home/home.htm/;http://verdesmares.globo.com/;http://belezapura.globo.com/;http://canalbis.globo.com/;http://jornalnacional.globo.com/;http://zorratotal.globo.com/;http://tapasebeijos.globo.com/;http://mundodositio.globo.com/;http://globoradio.globo.com/;http://canalbrasil.globo.com/;http://gshow.globo.com/programas/lei-de-murphy/;http://assine.globo.com/;http://tvtem.globo.com/;http://www.globo.com/;http://busca.globo.com/sites/jn/;http://videoshow.globo.com/;http://tvglobo.maisvoce.globo.com/;http://www.tv.globo.com/;http://altashoras.globo.com/;http://pegntv.globo.com/;http://especial.belezapura.globo.com/;http://gshow.globo.com/programas/amores-roubados/index.html/;http://tvglobinho.globo.com/;http://eternamagia.globo.com/;http://umaaventuranotempo.globo.com/;http://paginasdavida.globo.com;http://extra.globo.com/blogs/bbb/;http://anamariabraga.globo.com/;http://globo.com;http://redeglobo6.globo.com/;http://globofm.globoradio.globo.com/;http://gmc.globo.com;http://portalx.globo.com/;http://dacordopecado.globo.com/;http://globoplay.globo.com/;http://ego.globo.com/;http://maisvoce.globo.com/|;/programas/atormentados/;/videos/;/cultura/bigblog/;/home/home.htm/;/blogs/bbb/;/programas/serra-pelada/index.html/;/novelas/alem-do-horizonte/index.html/;/programas/amores-roubados/index.html/;/sites/jn/;/programas/a-teia/;/programas/divertics/;/realities/superstar/2015/;/;/programas/lei-de-murphy/||HTTP
about.com|http://primetimetv.about.com/cs/tradingspaces/index.htm;http://homevideo.about.com/cs/tvondvd/;http://primetimetv.about.com/cs/recapsbachelor/index.htm;http://golf.about.com/library/weekly/blbigbreak2.htm;http://gohawaii.about.com/b/a/069839.htm;http://deafness.about.com/library/weekly/aa021803.htm;http://gonyc.about.com/od/tvtapings/;http://realitytv.about.com;http://teentvmovies.about.com/library/blwbsmallphotos.htm;http://scifi.about.com/od/startrek/;http://collectibles.about.com/library/weekly/aa081703a.htm;http://tvschedules.about.com/library/blseinsched.htm;http://christianteens.about.com/library/weekly/aa021601a.htm;http://onelifetolive.about.com;http://primetimetv.about.com/library/blsurvivorpanama.htm;http://primetimetv.about.com/od/er/;http://talkshows.about.com;http://teenmusic.about.com/cs/2gether/index.htm;http://primetimetv.about.com/cs/friends/index.htm;http://generalhospital.about.com/;http://tvcomedy.about.com/;http://primetimetv.about.com/cs/forums/index.htm;http://golf.about.com/library/weekly/blbigbreak3.htm;http://tvdramas.about.com/;http://daysofourlives.about.com/entertainment/tv/daysofourlives/mpboards.htm;http://classictv.about.com;http://gameshows.about.com/;http://deafness.about.com/library/weekly/aa031698.htm;http://lost.about.com/;http://daysofourlives.about.com/tvradio/daysofourlives/;http://soaps.about.com/;http://startrek.about.com/library/weekly/aa022499.htm;http://primetimetv.about.com/od/sexandthecity/;http://tvschedules.about.com/cs/felicity/index.htm;http://golf.about.com/od/thebigbreak/a/bigbreakiv.htm;http://allmychildren.about.com/;http://primetimetv.about.com/library/blepisodeguides.htm;http://burlingtonvt.about.com/library/weekly/aa012400a.htm;http://primetimetv.about.com/cs/schedules/index.htm;http://primetimetv.about.com/library/blthebachelor.htm;http://startrek.about.com/tvradio/startrek/cs/vulcans/;http://tvschedules.about.com/library/shows/blwestwing.htm;http://tvschedules.about.com/library/shows/bl3rdrockep413.htm?iam;http://forums.about.com/ab-10thkingdom/messages/?msg=2.1&amp;ctx=1|;/od/er/;/library/weekly/aa021601a.htm;/cs/friends/index.htm;/library/weekly/aa031698.htm;/library/weekly/blbigbreak3.htm;/b/a/069839.htm;/library/weekly/aa022499.htm;/cs/forums/index.htm;/od/thebigbreak/a/bigbreakiv.htm;/;/library/blepisodeguides.htm;/library/blsurvivorpanama.htm;/cs/recapsbachelor/index.htm;/od/startrek/;/entertainment/tv/daysofourlives/mpboards.htm;/library/weekly/blbigbreak2.htm;/tvradio/startrek/cs/vulcans/;/cs/tradingspaces/index.htm;/library/shows/bl3rdrockep413.htm?iam;/ab-10thkingdom/messages/?msg=2.1&amp;ctx=1;/library/weekly/aa081703a.htm;/library/weekly/aa012400a.htm;/library/weekly/aa021803.htm;/cs/tvondvd/;/cs/2gether/index.htm;/library/blseinsched.htm;/cs/felicity/index.htm;/cs/schedules/index.htm;/library/shows/blwestwing.htm;/od/sexandthecity/;/od/tvtapings/;/library/blthebachelor.htm;/library/blwbsmallphotos.htm;/tvradio/daysofourlives/||HTTPS;HTTP
blogspot.com|http://www.spoilertv.blogspot.com/;http://smalltownx.blogspot.com;http://theblackdonnellyssurvey.blogspot.com/;http://desperate-housewives.blogspot.com/;http://gregbeeman.blogspot.com/;http://fxniptuck.blogspot.com/;http://www.realitybreakdown.blogspot.com/;http://altmusictv.blogspot.com/;http://audienciadetv.blogspot.com/;http://www.morridesungabranca.blogspot.com/;http://heroescast.blogspot.com/;http://theplanetcast.blogspot.com/;http://survivor11.blogspot.com/;http://www.rescuemefanclub.blogspot.com/;http://insidereality.blogspot.com;http://spoilerslost.blogspot.com/;http://westwingnews.blogspot.com/;http://spoilertv.blogspot.com/;http://tvgeekspeak.blogspot.com/;http://chrisdaughtrycampaign.blogspot.com/;http://morridesungabranca.blogspot.com/;http://blogyourenthusiasm.blogspot.com;http://wowpinoytv.blogspot.com/;http://www.spoilerslost.blogspot.com/;http://www.twinpeaksarchive.blogspot.com/;http://psychearc.blogspot.com;http://wearedetectives.blogspot.com/;http://www.erreway2008.blogspot.com/;http://www.sagetvuk.blogspot.com/;http://theapprenticeboardroom.blogspot.com;http://www.idolrant.blogspot.com/;http://trektalk.blogspot.com;http://www.wowpinoytv.blogspot.com/;http://erreway2008.blogspot.com/;http://tagstempusedaxrerum.blogspot.com/;http://www.heroes-spoilers.blogspot.com/;http://bloggingprojectrunway.blogspot.com/;http://apprentipodcast.blogspot.com;http://dehcs.blogspot.com/;http://survivorthoughts.blogspot.com/;http://bb7dish.blogspot.com/;http://survivor11summations.blogspot.com/;http://www.audienciadetv.blogspot.com/;http://thegkatimes.blogspot.com/|;/||HTTPS;HTTP
alltv.com.br|http://www.alltv.com.br/;http://alltv.com.br/|/||HTTPS;HTTP
meetup.com|http://allmychildren.meetup.com/;http://desphousewives.meetup.com/|/||HTTPS;HTTP
proboards30.com|http://bmwf.proboards30.com/;http://smallvillecrows.proboards30.com/index.cgi|/index.cgi;/||HTTPS;HTTP
sky.com.br|http://assine.sky.com.br/|/||HTTPS;HTTP
band.com.br|http://www.band.com.br/;http://band.com.br/|/||HTTPS;HTTP
webring.com|http://dir.webring.com/rw?d=entertainment___arts/television;http://l.webring.com/hub?ring=deepspace9;http://e.webring.com/hub?ring=bay;http://g.webring.com/webring?ring=jeepersring&amp;list;http://m.webring.com/hub?ring=dukes;http://x.webring.com/hub?ring=dwarferscrew;http://h.webring.com/hub?ring=darkangelwebring;http://q.webring.com/hub?ring=xflute;http://v.webring.com/hub?ring=beaner;http://www.webring.com/hub?ring=abcsoaps;http://f.webring.com/hub?ring=thedragonsseques;http://t.webring.com/hub?ring=scifictv;http://p.webring.com/hub?ring=highland;http://q.webring.com/hub?ring=xenakicksbutt;http://o.webring.com/hub?ring=star_trek_ring;http://s.webring.com/hub?ring=andromedafanfic;http://www.webring.com/hub?ring=gilmorewebring&amp;id=3&amp;hub;http://d.webring.com/hub?ring=becktrek&amp;list;http://p.webring.com/hub?ring=simbas;http://m.webring.com/hub?ring=spa;http://f.webring.com/hub?ring=starskyhutch;http://b.webring.com/hub?ring=batman1966;http://b.webring.com/hub?ring=dawsonscreekthew;http://b.webring.com/hub?ring=greatlink;http://www.webring.com/hub?ring=ukbroadcast;http://e.webring.com/hub?ring=vwebring&amp;list&amp;page=0;http://e.webring.com/hub?ring=ringofthe10kingd;http://o.webring.com/hub?ring=subtextseer;http://www.webring.com/cgi-bin/webring?ring=sg1uk;list;http://a.webring.com/hub?ring=xring;http://l.webring.com/hub?ring=publicaccesstv&amp;id=11&amp;hub;http://v.webring.com/hub?ring=thejohndoggettfa&amp;id=10&amp;hub;http://g.webring.com/hub?ring=xena145;http://u.webring.com/hub?ring=space&amp;list;http://j.webring.com/webring?ring=lucyricardo&amp;;list;http://p.webring.com/hub?ring=hollyhop;http://b.webring.com/hub?ring=reddwarfers;http://www.webring.com/hub?ring=sgfanfic;http://t.webring.com/hub?ring=soapfans/;http://c.webring.com/hub?ring=binklette;http://www.webring.com/hub?ring=vandora;http://w.webring.com/hub?ring=thesecretadventu&amp;list;http://i.webring.com/hub?ring=trekladies;http://d.webring.com/hub?ring=thelostworld;http://u.webring.com/hub?ring=smallvillewebrin;http://www.webring.com/hub?ring=techtvfanwebring;http://r.webring.com/hub?ring=wskinner;http://c.webring.com/hub?ring=webringofthefrie;http://a.webring.com/hub?ring=kith;http://w.webring.com/hub?ring=voymen;http://webring.com/hub?ring=danieljacksonfan;http://l.webring.com/hub?ring=specialunit2;http://www.webring.com/hub?ring=gilmoregirls;http://c.webring.com/hub?ring=kamenrider;http://v.webring.com/hub?sid=&amp;ring=emil123&amp;id=&amp;list;http://www.webring.com/hub?ring=tvfansiteswebrin;http://l.webring.com/hub?ring=dsfanart;http://o.webring.com/hub?ring=crowmistie;http://i.webring.com/hub?ring=thenomad;http://j.webring.com/hub?ring=xadd;http://m.webring.com/hub?ring=thetrackerwebrin&amp;list;http://h.webring.com/hub?ring=sitcom;http://www.webring.com/hub?ring=frankblack;http://u.webring.com/hub?ring=xficrec;http://o.webring.com/hub?ring=timetrax&amp;list;http://o.webring.com/hub?ring=nick1;http://v.webring.com/hub?ring=lofic;http://w.webring.com/hub?ring=mutantxlogs;http://q.webring.com/hub?ring=rimring;http://h.webring.com/hub?ring=2032;http://i.webring.com/hub?ring=svfanfic;http://i.webring.com/hub?ring=guardianoncbs;http://d.webring.com/hub?ring=fkloop;http://h.webring.com/hub?ring=b5;http://s.webring.com/hub?ring=y_r;http://i.webring.com/hub?ring=3rdwatch;http://s.webring.com/hub?ring=happyring/;http://q.webring.com/hub?ring=lexluthorforpres&amp;id=10&amp;hub;http://v.webring.com/hub?ring=pelka;http://www.webring.com/hub?ring=twtapetrading;http://l.webring.com/hub?ring=xfairy&amp;list;http://q.webring.com/hub?ring=lexluthorforpres&amp;id=2&amp;hub;http://p.webring.com/hub?ring=lab;http://v.webring.com/hub?ring=thejohndoggettfa&amp;id=15&amp;hub;http://l.webring.com/hub?ring=wizardsandwarrio;http://d.webring.com/hub?ring=warriorandherowe;http://g.webring.com/hub?ring=10thkingdom;http://g.webring.com/hub?ring=thesocietyofx&amp;list;http://b.webring.com/hub?ring=tkr;http://p.webring.com/hub?ring=videotapeexchang&amp;id=9&amp;hub;http://h.webring.com/hub?ring=mst3000;http://t.webring.com/hub?ring=nz30;http://g.webring.com/hub?ring=christyring;http://c.webring.com/hub?sid=&amp;ring=startrekone&amp;id=&amp;list;http://n.webring.com/hub?ring=flyboy;http://w.webring.com/hub?ring=dharma_n_greg;http://b.webring.com/hub?ring=belanna;http://www.webring.com/hub?ring=txfds1;http://d.webring.com/hub?ring=7seas;http://j.webring.com/hub?ring=ultimatesmallvil;http://s.webring.com/hub?ring=mutantx1;http://g.webring.com/hub?ring=b5crusade;http://i.webring.com/hub?ring=gorkon;http://www.webring.com/hub?ring=themethoswebring;http://www.webring.com/hub?ring=carnivalering;http://www.webring.com/hub?ring=newspecies;http://p.webring.com/hub?ring=portcharles/;http://www.webring.com/hub?ring=buffy;http://www.webring.com/hub?ring=methosaddict;http://i.webring.com/hub?ring=seaquestdsv;http://d.webring.com/hub?ring=conflictcrusader;http://f.webring.com/hub?ring=gothicwitch;http://www.webring.com/hub?ring=charmedtriquetra;http://f.webring.com/hub?ring=lcars;http://g.webring.com/hub?ring=spacepatrol;http://a.webring.com/hub?ring=xena13ring;http://www.webring.com/hub?ring=slayers;http://f.webring.com/hub?ring=shipperswholiked&amp;id=5&amp;hub;http://e.webring.com/hub?ring=americanembassy&amp;id=2&amp;hub;http://h.webring.com/hub?ring=harshrealm&amp;list;http://c.webring.com/hub?ring=snwr;http://u.webring.com/hub?ring=tenthkingdom;http://x.webring.com/hub?ring=spookyarchive&amp;id=6&amp;hub;http://k.webring.com/hub?ring=theway;http://v.webring.com/hub?ring=thejohndoggettfa&amp;id=11&amp;hub;http://e.webring.com/hub?ring=xfiles1;http://www.webring.com/hub?ring=smileyourwaytom1;http://www.webring.com/hub?ring=nick1;http://www.webring.com/hub?ring=jeepersring;http://c.webring.com/hub?sid=&amp;ring=nwmring&amp;id=&amp;list;http://i.webring.com/hub?ring=otbs;http://l.webring.com/hub?ring=stscully&amp;list;http://w.webring.com/hub?ring=assimi;http://f.webring.com/hub?ring=t10kwritersguild;http://l.webring.com/hub?ring=watcherschron&amp;list;http://i.webring.com/hub?sid=&amp;ring=worshipxena&amp;id=&amp;list;http://j.webring.com/hub?ring=noship;http://m.webring.com/hub?ring=sinbadbryn;http://m.webring.com/hub?ring=hawaiifiveo|/hub?ring=xenakicksbutt;/hub?ring=harshrealm&amp;list;/hub?sid=&amp;ring=startrekone&amp;id=&amp;list;/hub?ring=b5;/hub?ring=greatlink;/hub?ring=b5crusade;/hub?ring=flyboy;/hub?ring=xflute;/hub?ring=spookyarchive&amp;id=6&amp;hub;/hub?ring=warriorandherowe;/hub?ring=y_r;/hub?ring=xficrec;/hub?ring=pelka;/hub?ring=beaner;/hub?ring=thejohndoggettfa&amp;id=10&amp;hub;/hub?sid=&amp;ring=emil123&amp;id=&amp;list;/hub?ring=theway;/hub?ring=ringofthe10kingd;/hub?ring=assimi;/hub?ring=vandora;/hub?ring=gorkon;/hub?ring=jeepersring;/hub?ring=conflictcrusader;/hub?ring=watcherschron&amp;list;/hub?ring=abcsoaps;/hub?ring=mst3000;/hub?ring=xfairy&amp;list;/hub?ring=subtextseer;/hub?ring=tenthkingdom;/hub?ring=videotapeexchang&amp;id=9&amp;hub;/hub?ring=twtapetrading;/hub?ring=happyring/;/hub?ring=ultimatesmallvil;/hub?ring=wizardsandwarrio;/hub?ring=xadd;/hub?ring=thejohndoggettfa&amp;id=11&amp;hub;/hub?ring=belanna;/hub?ring=lofic;/hub?ring=thesecretadventu&amp;list;/hub?ring=scifictv;/cgi-bin/webring?ring=sg1uk;list;/hub?ring=xena13ring;/hub?ring=hawaiifiveo;/hub?ring=vwebring&amp;list&amp;page=0;/hub?ring=thetrackerwebrin&amp;list;/hub?ring=slayers;/hub?ring=space&amp;list;/hub?ring=wskinner;/hub?ring=highland;/hub?ring=dukes;/hub?ring=christyring;/hub?ring=carnivalering;/hub?ring=darkangelwebring;/hub?ring=seaquestdsv;/hub?ring=star_trek_ring;/hub?ring=gilmoregirls;/hub?ring=tvfansiteswebrin;/hub?ring=deepspace9;/hub?ring=smileyourwaytom1;/hub?ring=guardianoncbs;/hub?ring=tkr;/hub?ring=charmedtriquetra;/hub?ring=thejohndoggettfa&amp;id=15&amp;hub;/hub?ring=becktrek&amp;list;/hub?ring=spa;/hub?ring=10thkingdom;/hub?ring=thedragonsseques;/hub?ring=spacepatrol;/hub?ring=techtvfanwebring;/hub?ring=snwr;/hub?ring=mutantxlogs;/hub?ring=americanembassy&amp;id=2&amp;hub;/hub?ring=otbs;/hub?ring=crowmistie;/hub?ring=nz30;/hub?ring=gothicwitch;/hub?ring=andromedafanfic;/hub?ring=kith;/hub?ring=thenomad;/hub?ring=batman1966;/hub?ring=simbas;/hub?ring=starskyhutch;/hub?ring=lexluthorforpres&amp;id=10&amp;hub;/hub?sid=&amp;ring=worshipxena&amp;id=&amp;list;/hub?ring=soapfans/;/hub?ring=xring;/hub?ring=danieljacksonfan;/hub?ring=xena145;/hub?ring=dsfanart;/hub?ring=smallvillewebrin;/hub?ring=mutantx1;/hub?ring=thelostworld;/hub?ring=fkloop;/hub?ring=kamenrider;/hub?ring=sitcom;/webring?ring=jeepersring&amp;list;/webring?ring=lucyricardo&amp;;list;/hub?ring=dawsonscreekthew;/hub?ring=rimring;/hub?ring=2032;/hub?ring=lexluthorforpres&amp;id=2&amp;hub;/hub?ring=sgfanfic;/hub?ring=gilmorewebring&amp;id=3&amp;hub;/hub?ring=hollyhop;/hub?ring=thesocietyofx&amp;list;/rw?d=entertainment___arts/television;/hub?ring=reddwarfers;/hub?ring=sinbadbryn;/hub?ring=ukbroadcast;/hub?ring=newspecies;/hub?ring=noship;/hub?ring=nick1;/hub?ring=bay;/hub?ring=dwarferscrew;/hub?ring=webringofthefrie;/hub?ring=svfanfic;/hub?ring=lcars;/hub?ring=portcharles/;/hub?ring=lab;/hub?ring=frankblack;/hub?ring=stscully&amp;list;/hub?sid=&amp;ring=nwmring&amp;id=&amp;list;/hub?ring=3rdwatch;/hub?ring=trekladies;/hub?ring=themethoswebring;/hub?ring=txfds1;/hub?ring=xfiles1;/hub?ring=methosaddict;/hub?ring=specialunit2;/hub?ring=t10kwritersguild;/hub?ring=shipperswholiked&amp;id=5&amp;hub;/hub?ring=buffy;/hub?ring=binklette;/hub?ring=7seas;/hub?ring=publicaccesstv&amp;id=11&amp;hub;/hub?ring=dharma_n_greg;/hub?ring=voymen;/hub?ring=timetrax&amp;list||HTTP
