domain|urls|paths|subdomains|proto
live.com|http://help.live.com/|/||HTTPS;HTTP
blogspot.com|http://www.webupd8.blogspot.com/;http://webupd8.blogspot.com/|/||HTTPS;HTTP
supersitesdaweb.com|http://www.supersitesdaweb.com/apostilas_tutoriais.htm|/apostilas_tutoriais.htm||HTTPS;HTTP
hpg.com.br|http://www.tutoriaisonnet.hpg.com.br/;http://animanix.hpg.com.br/;http://www.animanix.hpg.com.br/|/||HTTPS;HTTP
agatetepe.com.br|http://www.agatetepe.com.br/;http://agatetepe.com.br/|/||HTTPS;HTTP
apostilando.com|http://www.apostilando.com/;http://apostilando.com/|/||HTTPS;HTTP
stackoverflow.com|http://stackoverflow.com/;http://www.stackoverflow.com/|/||HTTPS;HTTP
plugmasters.com.br|http://www.plugmasters.com.br/;http://plugmasters.com.br/|/||HTTP
codigofonte.net|http://codigofonte.net/;http://www.codigofonte.net/;http://servicos.codigofonte.net/|/||HTTPS;HTTP
guiadohardware.net|http://www.guiadohardware.net;http://guiadohardware.net|||HTTPS;HTTP
clubedohardware.com.br|http://www.clubedohardware.com.br;http://clubedohardware.com.br|||HTTPS;HTTP
emailmeform.com|http://www.emailmeform.com/;http://emailmeform.com/|/||HTTPS;HTTP
experts-exchange.com|http://www.experts-exchange.com/;http://experts-exchange.com/|/||HTTPS;HTTP
graphicriver.net|http://graphicriver.net/;http://www.graphicriver.net/|/||HTTPS;HTTP
osdir.com|http://www.osdir.com/;http://osdir.com/|/||HTTPS;HTTP
templatemonster.com|http://www.templatemonster.com/;http://templatemonster.com/|/||HTTPS;HTTP
wpcandy.com|http://wpcandy.com/;http://www.wpcandy.com/|/||HTTPS;HTTP
tutsplus.com|http://tutsplus.com/;http://www.tutsplus.com/|/||HTTPS;HTTP
typingmaster.com|http://www.typingmaster.com|||HTTPS;HTTP
howstuffworks.com|http://www.howstuffworks.com/;http://howstuffworks.com/|/||HTTPS;HTTP
idealgratis.com|http://www.idealgratis.com/;http://idealgratis.com/|/||HTTPS;HTTP
wikipedia.org|http://en.wikipedia.org/wiki/white_paper|/wiki/white_paper||HTTPS;HTTP
ig.com.br|http://guiatutoriais.hpg.ig.com.br/;http://www.guiatutoriais.hpg.ig.com.br/|/||HTTP
w3.org|http://w3.org/;http://www.w3.org/|/||HTTPS;HTTP
scrubtheweb.com|http://www.scrubtheweb.com;http://scrubtheweb.com|||HTTPS;HTTP
microsoft.com|http://www.microsoft.com/;http://microsoft.com/|/||HTTPS;HTTP
smashingmagazine.com|http://www.smashingmagazine.com/;http://smashingmagazine.com/|/||HTTPS;HTTP
baboo.com.br|http://baboo.com.br;http://www.baboo.com.br|||HTTPS;HTTP
wmonline.com.br|http://forum.wmonline.com.br/;http://www.wmonline.com.br/;http://wmonline.com.br/|/||HTTPS;HTTP
lemon.com.br|http://www.lemon.com.br/canais/tutoriais/|/canais/tutoriais/||HTTPS;HTTP
brasilacademico.com|http://www.brasilacademico.com/;http://brasilacademico.com/|/||HTTPS;HTTP
juliobattisti.com.br|http://www.juliobattisti.com.br/;http://juliobattisti.com.br/|/||HTTPS;HTTP
codeproject.com|http://www.codeproject.com/;http://codeproject.com/|/||HTTPS;HTTP
answers.com|http://www.answers.com;http://answers.com|||HTTPS;HTTP
scriptbrasil.com.br|http://www.scriptbrasil.com.br/;http://scriptbrasil.com.br/|/||HTTP
abduzeedo.com|http://abduzeedo.com;http://www.abduzeedo.com|||HTTPS;HTTP
tutorialized.com|http://tutorialized.com/;http://www.tutorialized.com/|/||HTTPS;HTTP
w3schools.com|http://w3schools.com;http://www.w3schools.com|||HTTPS;HTTP
ubuntuforum-br.org|http://ubuntuforum-br.org/;http://www.ubuntuforum-br.org/|/||HTTPS;HTTP
site-reference.com|http://site-reference.com/;http://www.site-reference.com/|/||HTTPS;HTTP
webtutoriais.com.br|http://www.webtutoriais.com.br/;http://webtutoriais.com.br/|/||HTTPS;HTTP
jusbrasil.com.br|http://jusbrasil.com.br;http://www.jusbrasil.com.br|||HTTPS;HTTP
tech-faq.com|http://www.tech-faq.com;http://tech-faq.com|||HTTPS;HTTP
ehow.com|http://ehow.com/;http://www.ehow.com/|/||HTTPS;HTTP
br-linux.org|http://www.br-linux.org/tutoriais/;http://br-linux.org/tutoriais/|/tutoriais/||HTTPS;HTTP
sitepoint.com|http://sitepoint.com;http://www.sitepoint.com|||HTTPS;HTTP
monografias.com|http://monografias.com/;http://www.monografias.com/|/||HTTPS;HTTP
lawebdelprogramador.com|http://www.lawebdelprogramador.com/;http://lawebdelprogramador.com/|/||HTTPS;HTTP
debian.org|http://www.debian.org/doc/manuais/;http://debian.org/doc/manuais/|/doc/manuais/||HTTPS;HTTP
sapo.pt|http://imagemtutorial.no.sapo.pt/|/||HTTPS;HTTP
babooforum.com.br|http://www.babooforum.com.br;http://babooforum.com.br|||HTTPS;HTTP
dummies.com|http://dummies.com/;http://www.dummies.com/|/||HTTPS;HTTP
truquesedicas.com|http://www.truquesedicas.com/;http://truquesedicas.com/tutoriais/|/tutoriais/;/||HTTP
quickanddirtytips.com|http://quickanddirtytips.com/;http://www.quickanddirtytips.com/|/||HTTPS;HTTP
htmlstaff.org|http://www.htmlstaff.org/;http://www.www.htmlstaff.org/;http://htmlstaff.org/|/||HTTPS;HTTP
canalrcn.com|http://www.canalrcn.com;http://canalrcn.com|||HTTPS;HTTP
wsabstract.com|http://www.wsabstract.com/;http://wsabstract.com/|/||HTTPS;HTTP
tubetorial.com|http://tubetorial.com;http://www.tubetorial.com|||HTTPS;HTTP
bpiropo.com.br|http://bpiropo.com.br/;http://www.bpiropo.com.br/|/||HTTPS;HTTP
ccaa.com.br|http://www.ccaa.com.br|||HTTPS;HTTP
geeksucks.com|http://www.geeksucks.com;http://geeksucks.com|||HTTPS;HTTP
tutomania.com.br|http://tutomania.com.br/;http://www.tutomania.com.br/|/||HTTPS;HTTP
evandro.net|http://www.evandro.net/;http://evandro.net/|/||HTTP
webtutoriais.com|http://webtutoriais.com/;http://www.webtutoriais.com/;http://forum.webtutoriais.com/|/||HTTP
webtaller.com|http://webtaller.com/;http://www.webtaller.com/|/||HTTPS;HTTP
chrisfarrellmembership.com|http://chrisfarrellmembership.com;http://www.chrisfarrellmembership.com|||HTTPS;HTTP
linhadecodigo.com.br|http://linhadecodigo.com.br/;http://www.linhadecodigo.com.br/|/||HTTPS;HTTP
howtodothings.com|http://howtodothings.com/;http://www.howtodothings.com/|/||HTTP
dutchforce.com|http://dutchforce.com/;http://www.dutchforce.com/|/||HTTPS;HTTP
thechetan.com|http://www.thechetan.com/;http://thechetan.com/|/||HTTPS;HTTP
a1essays.com|http://www.a1essays.com/;http://a1essays.com/|/||HTTPS;HTTP
sunncity.com|http://www.sunncity.com/;http://sunncity.com/|/||HTTPS;HTTP
