domain|urls|paths|subdomains|proto
uol.com.br|http://04029a3472d8891306.comunidade.uolk.uol.com.br/;http://portaldovaletudo.uol.com.br/|/||HTTPS;HTTP
blogspot.com|http://www.mortestragicas.blogspot.com/;http://hardnilson.blogspot.com/;http://mortestragicas.blogspot.com/;http://www.hardnilson.blogspot.com/|/||HTTPS;HTTP
blogspot.com.br|http://www.mortestragicas.blogspot.com.br/;http://mortestragicas.blogspot.com.br/|/||HTTPS;HTTP
bol.com.br|http://terror.vila.bol.com.br|||HTTPS;HTTP
wordpress.com|http://whoisharunyahya.wordpress.com/|/||HTTPS;HTTP
barenakedislam.com|http://barenakedislam.com/;http://www.barenakedislam.com/|/||HTTPS;HTTP
amren.com|http://www.amren.com/;http://amren.com/|/||HTTPS;HTTP
auctionarms.com|http://www.auctionarms.com;http://auctionarms.com|||HTTPS;HTTP
bestgore.com|http://bestgore.com/;http://www.bestgore.com/|/||HTTPS;HTTP
davidduke.com|http://campaign.davidduke.com/|/||HTTPS;HTTP
codoh.com|http://codoh.com/;http://www.codoh.com/|/||HTTPS;HTTP
bloodandhonour.com|http://www.bloodandhonour.com/;http://bloodandhonour.com/|/||HTTPS;HTTP
jsvp.ch|http://www.jsvp.ch/;http://jsvp.ch/|/||HTTPS;HTTP
micetrap.net|http://micetrap.net/;http://www.micetrap.net/|/||HTTPS;HTTP
documentingreality.com|http://www.documentingreality.com;http://documentingreality.com|||HTTPS;HTTP
rediff.com|http://in.rediff.com/news/2005/dec/21bspec.htm/;http://www.in.rediff.com/news/2005/dec/21bspec.htm/|/news/2005/dec/21bspec.htm/||HTTPS;HTTP
ladonegro.net|http://www.ladonegro.net/cat_terror_gore.html;http://ladonegro.net/cat_terror_gore.html|/cat_terror_gore.html||HTTPS;HTTP
stormfront.org|http://www.stormfront.org/;http://stormfront.org/|/||HTTPS;HTTP
mma-core.com|http://www.mma-core.com/;http://mma-core.com/|/||HTTPS;HTTP
whitepride.net|http://www.whitepride.net/;http://whitepride.net/|/||HTTPS;HTTP
club3k.at|http://club3k.at/;http://www.club3k.at/|/||HTTPS;HTTP
svp.ch|http://svp.ch/;http://www.svp.ch/|/||HTTPS;HTTP
terra.com.br|http://planeta.terra.com.br/arte/hellnight|/arte/hellnight||HTTPS;HTTP
mayhem.net|http://www.mayhem.net/;http://mayhem.net/|/||HTTPS;HTTP
