domain|urls|paths|subdomains|proto
badoo.com|http://06658534.eu1.badoo.com|||HTTPS;HTTP
10minutemail.com|http://www.10minutemail.com;http://10minutemail.com|||HTTPS;HTTP
123india.com|http://www.123india.com/;http://123india.com/|/||HTTP
207.46.26.13|http://207.46.26.13|||HTTPS;HTTP
207.46.26.15|http://207.46.26.15|||HTTPS;HTTP
006.com|http://www.006.com/;http://006.com/|/||HTTP
4anything.com|http://4anything.com/;http://www.4anything.com/|/||HTTPS;HTTP
runbox.com|http://www.runbox.com;http://runbox.com;http://2000.runbox.com/|;/||HTTPS;HTTP
3dmail.com|http://3dmail.com/;http://www.3dmail.com/|/||HTTPS;HTTP
4a2z.com|http://4a2z.com/;http://www.4a2z.com/|/||HTTP
1freeemail.com|http://1freeemail.com/|/||HTTP
004.com|http://004.com/|/||HTTP
1forallemail.com|http://www.1forallemail.com/;http://1forallemail.com/|/||HTTP
005.com|http://005.com/;http://www.005.com/|/||HTTPS;HTTP
123-email.com|http://www.123-email.com/;http://123-email.com/|/||HTTPS;HTTP
ovh.net|http://60gp.ovh.net/;http://www.webmail.ovh.net/|/||HTTPS;HTTP
21centuryoutdoors.com|http://21centuryoutdoors.com/;http://www.21centuryoutdoors.com/|/||HTTPS;HTTP
mailinfo.com|http://591519.signature1.mailinfo.com;http://477624.viewsig.mailinfo.com;http://477624.signature1.mailinfo.com;http://591519.viewsig.mailinfo.com|||HTTP
012mail.net|http://012mail.net/;http://www.012mail.net/|/||HTTPS;HTTP
5star.net|http://www.5star.net/;http://5star.net/|/||HTTPS;HTTP
2ndmail.com|http://2ndmail.com/;http://www.2ndmail.com/|/||HTTPS;HTTP
163.net|http://163.net/;http://www.163.net/|/||HTTPS;HTTP
126.com|http://126.com/;http://www.126.com/|/||HTTPS;HTTP
bol.com.br|http://bmail.bol.com.br;http://www.bol.com.br;http://acesso.bol.com.br;http://bol.com.br|||HTTPS;HTTP
ufpb.br|http://abel.mat.ufpb.br/mail;http://ns.prefeitura.ufpb.br/webmail|/webmail;/mail||HTTPS;HTTP
ufsj.edu.br|http://anu.ufsj.edu.br/?meio=webmail.php|/?meio=webmail.php||HTTPS;HTTP
fumec.br|http://aluno.fea.fumec.br/index.php|/index.php||HTTP
unipar.br|http://www.unipar.br/webmail;http://alunos.unipar.br/webmail|/webmail||HTTP
